NAME,total_population,median_household_income,state,county,tract,GEOID,city
Census Tract 2226.01; Harris County; Texas,2146,33689,48,201,222601,48201222601,Houston
Census Tract 2226.02; Harris County; Texas,2329,29722,48,201,222602,48201222602,Houston
Census Tract 2227.01; Harris County; Texas,2779,11592,48,201,222701,48201222701,Houston
Census Tract 2227.02; Harris County; Texas,3828,26653,48,201,222702,48201222702,Houston
Census Tract 2228; Harris County; Texas,4160,39241,48,201,222800,48201222800,Houston
Census Tract 2229; Harris County; Texas,8286,53672,48,201,222900,48201222900,Houston
Census Tract 2230.01; Harris County; Texas,3845,47768,48,201,223001,48201223001,Houston
Census Tract 2230.02; Harris County; Texas,3073,40150,48,201,223002,48201223002,Houston
Census Tract 2231; Harris County; Texas,2274,64655,48,201,223100,48201223100,Houston
Census Tract 2301; Harris County; Texas,1661,50357,48,201,230100,48201230100,Houston
Census Tract 2302; Harris County; Texas,4857,36609,48,201,230200,48201230200,Houston
Census Tract 2303; Harris County; Texas,2085,43519,48,201,230300,48201230300,Houston
Census Tract 2304; Harris County; Texas,4092,59688,48,201,230400,48201230400,Houston
Census Tract 2305; Harris County; Texas,3487,37386,48,201,230500,48201230500,Houston
Census Tract 2306; Harris County; Texas,2708,34145,48,201,230600,48201230600,Houston
Census Tract 2307; Harris County; Texas,2934,36445,48,201,230700,48201230700,Houston
Census Tract 2308; Harris County; Texas,2373,45260,48,201,230800,48201230800,Houston
Census Tract 2309; Harris County; Texas,4409,30088,48,201,230900,48201230900,Houston
Census Tract 2310; Harris County; Texas,5644,45050,48,201,231000,48201231000,Houston
Census Tract 2311; Harris County; Texas,5521,31875,48,201,231100,48201231100,Houston
Census Tract 2312; Harris County; Texas,5965,35199,48,201,231200,48201231200,Houston
Census Tract 2313; Harris County; Texas,5171,48560,48,201,231300,48201231300,Houston
Census Tract 2314; Harris County; Texas,3123,45479,48,201,231400,48201231400,Houston
Census Tract 2315; Harris County; Texas,3047,50319,48,201,231500,48201231500,Houston
Census Tract 2316; Harris County; Texas,3171,41760,48,201,231600,48201231600,Houston
Census Tract 2317; Harris County; Texas,4517,41731,48,201,231700,48201231700,Houston
Census Tract 2318; Harris County; Texas,3146,57198,48,201,231800,48201231800,Houston
Census Tract 2319; Harris County; Texas,6618,41331,48,201,231900,48201231900,Houston
Census Tract 2320; Harris County; Texas,4410,39693,48,201,232000,48201232000,Houston
Census Tract 2321; Harris County; Texas,3563,42374,48,201,232100,48201232100,Houston
Census Tract 2322.01; Harris County; Texas,6732,57449,48,201,232201,48201232201,Houston
Census Tract 2322.02; Harris County; Texas,5283,185611,48,201,232202,48201232202,Houston
Census Tract 2322.03; Harris County; Texas,6428,70180,48,201,232203,48201232203,Houston
Census Tract 2323.03; Harris County; Texas,5431,54908,48,201,232303,48201232303,Houston
Census Tract 2323.04; Harris County; Texas,7453,45694,48,201,232304,48201232304,Houston
Census Tract 2323.05; Harris County; Texas,11504,89591,48,201,232305,48201232305,Houston
Census Tract 2323.06; Harris County; Texas,4029,103191,48,201,232306,48201232306,Houston
Census Tract 2324.02; Harris County; Texas,4607,58537,48,201,232402,48201232402,Houston
Census Tract 2324.03; Harris County; Texas,4142,54886,48,201,232403,48201232403,Houston
Census Tract 2324.04; Harris County; Texas,3562,77560,48,201,232404,48201232404,Houston
Census Tract 2324.05; Harris County; Texas,5961,79344,48,201,232405,48201232405,Houston
Census Tract 2325; Harris County; Texas,4450,41813,48,201,232500,48201232500,Houston
Census Tract 2326; Harris County; Texas,2354,68254,48,201,232600,48201232600,Houston
Census Tract 2327.01; Harris County; Texas,7379,38835,48,201,232701,48201232701,Houston
