NAME,total_population,median_household_income,state,county,tract,GEOID,city
Census Tract 1032.06; Maricopa County; Arizona,2284,151369,04,013,103206,04013103206,Phoenix
Census Tract 1032.07; Maricopa County; Arizona,2215,166250,04,013,103207,04013103207,Phoenix
Census Tract 1032.08; Maricopa County; Arizona,3756,74129,04,013,103208,04013103208,Phoenix
Census Tract 1032.09; Maricopa County; Arizona,4961,138803,04,013,103209,04013103209,Phoenix
Census Tract 1032.10; Maricopa County; Arizona,7951,76329,04,013,103210,04013103210,Phoenix
Census Tract 1032.11; Maricopa County; Arizona,4744,113295,04,013,103211,04013103211,Phoenix
Census Tract 1032.12; Maricopa County; Arizona,4343,125129,04,013,103212,04013103212,Phoenix
Census Tract 1032.14; Maricopa County; Arizona,3814,126000,04,013,103214,04013103214,Phoenix
Census Tract 1032.15; Maricopa County; Arizona,3064,146154,04,013,103215,04013103215,Phoenix
Census Tract 1032.16; Maricopa County; Arizona,5584,116761,04,013,103216,04013103216,Phoenix
Census Tract 1032.17; Maricopa County; Arizona,5629,108310,04,013,103217,04013103217,Phoenix
Census Tract 1032.19; Maricopa County; Arizona,3811,104868,04,013,103219,04013103219,Phoenix
Census Tract 1032.20; Maricopa County; Arizona,2820,98611,04,013,103220,04013103220,Phoenix
Census Tract 1033.02; Maricopa County; Arizona,6028,80593,04,013,103302,04013103302,Phoenix
Census Tract 1033.03; Maricopa County; Arizona,3923,96859,04,013,103303,04013103303,Phoenix
Census Tract 1033.04; Maricopa County; Arizona,4406,46937,04,013,103304,04013103304,Phoenix
Census Tract 1033.05; Maricopa County; Arizona,3732,47155,04,013,103305,04013103305,Phoenix
Census Tract 1033.06; Maricopa County; Arizona,4194,42817,04,013,103306,04013103306,Phoenix
Census Tract 1034; Maricopa County; Arizona,4237,61944,04,013,103400,04013103400,Phoenix
Census Tract 1035.01; Maricopa County; Arizona,3085,80964,04,013,103501,04013103501,Phoenix
Census Tract 1035.02; Maricopa County; Arizona,6213,92398,04,013,103502,04013103502,Phoenix
Census Tract 1036.04; Maricopa County; Arizona,4238,82750,04,013,103604,04013103604,Phoenix
Census Tract 1036.05; Maricopa County; Arizona,6041,138387,04,013,103605,04013103605,Phoenix
Census Tract 1036.06; Maricopa County; Arizona,4852,85893,04,013,103606,04013103606,Phoenix
Census Tract 1036.07; Maricopa County; Arizona,4233,120150,04,013,103607,04013103607,Phoenix
Census Tract 1036.08; Maricopa County; Arizona,4338,79427,04,013,103608,04013103608,Phoenix
Census Tract 1036.09; Maricopa County; Arizona,6183,51764,04,013,103609,04013103609,Phoenix
Census Tract 1036.11; Maricopa County; Arizona,5034,122167,04,013,103611,04013103611,Phoenix
Census Tract 1036.12; Maricopa County; Arizona,5643,54345,04,013,103612,04013103612,Phoenix
Census Tract 1036.14; Maricopa County; Arizona,3032,100688,04,013,103614,04013103614,Phoenix
Census Tract 1036.15; Maricopa County; Arizona,5530,45363,04,013,103615,04013103615,Phoenix
Census Tract 1037.01; Maricopa County; Arizona,4947,52516,04,013,103701,04013103701,Phoenix
Census Tract 1037.02; Maricopa County; Arizona,3557,88526,04,013,103702,04013103702,Phoenix
Census Tract 1039; Maricopa County; Arizona,6528,70917,04,013,103900,04013103900,Phoenix
Census Tract 1040; Maricopa County; Arizona,7438,42662,04,013,104000,04013104000,Phoenix
Census Tract 1041; Maricopa County; Arizona,7448,69005,04,013,104100,04013104100,Phoenix
Census Tract 1042.02; Maricopa County; Arizona,4995,101731,04,013,104202,04013104202,Phoenix
Census Tract 1042.03; Maricopa County; Arizona,7374,86296,04,013,104203,04013104203,Phoenix
Census Tract 1042.04; Maricopa County; Arizona,3053,94075,04,013,104204,04013104204,Phoenix
Census Tract 1042.05; Maricopa County; Arizona,6919,52153,04,013,104205,04013104205,Phoenix
Census Tract 1042.06; Maricopa County; Arizona,3987,75573,04,013,104206,04013104206,Phoenix
Census Tract 1042.07; Maricopa County; Arizona,4402,79947,04,013,104207,04013104207,Phoenix
Census Tract 1042.12; Maricopa County; Arizona,6424,83278,04,013,104212,04013104212,Phoenix
Census Tract 1042.14; Maricopa County; Arizona,2304,69987,04,013,104214,04013104214,Phoenix
Census Tract 1042.15; Maricopa County; Arizona,4281,83000,04,013,104215,04013104215,Phoenix
