NAME,poverty_universe,below_poverty_count,state,county,tract,GEOID,city
Census Tract 820.26; Maricopa County; Arizona,7412,745,04,013,082026,04013082026,Phoenix
Census Tract 820.27; Maricopa County; Arizona,6145,613,04,013,082027,04013082027,Phoenix
Census Tract 820.28; Maricopa County; Arizona,4222,904,04,013,082028,04013082028,Phoenix
Census Tract 822.04; Maricopa County; Arizona,7722,633,04,013,082204,04013082204,Phoenix
Census Tract 822.05; Maricopa County; Arizona,6674,685,04,013,082205,04013082205,Phoenix
Census Tract 822.06; Maricopa County; Arizona,4373,292,04,013,082206,04013082206,Phoenix
Census Tract 822.07; Maricopa County; Arizona,3673,515,04,013,082207,04013082207,Phoenix
Census Tract 822.08; Maricopa County; Arizona,3626,412,04,013,082208,04013082208,Phoenix
Census Tract 822.09; Maricopa County; Arizona,2870,636,04,013,082209,04013082209,Phoenix
Census Tract 822.10; Maricopa County; Arizona,5021,448,04,013,082210,04013082210,Phoenix
Census Tract 822.11; Maricopa County; Arizona,8012,434,04,013,082211,04013082211,Phoenix
Census Tract 822.12; Maricopa County; Arizona,6808,505,04,013,082212,04013082212,Phoenix
Census Tract 822.13; Maricopa County; Arizona,6802,342,04,013,082213,04013082213,Phoenix
Census Tract 830; Maricopa County; Arizona,7148,2199,04,013,083000,04013083000,Phoenix
Census Tract 923.05; Maricopa County; Arizona,5137,1372,04,013,092305,04013092305,Phoenix
Census Tract 923.06; Maricopa County; Arizona,5581,828,04,013,092306,04013092306,Phoenix
Census Tract 923.07; Maricopa County; Arizona,6212,1157,04,013,092307,04013092307,Phoenix
Census Tract 923.08; Maricopa County; Arizona,6859,1040,04,013,092308,04013092308,Phoenix
Census Tract 923.09; Maricopa County; Arizona,5734,155,04,013,092309,04013092309,Phoenix
Census Tract 923.11; Maricopa County; Arizona,2595,815,04,013,092311,04013092311,Phoenix
Census Tract 923.12; Maricopa County; Arizona,6470,836,04,013,092312,04013092312,Phoenix
Census Tract 924.01; Maricopa County; Arizona,3937,781,04,013,092401,04013092401,Phoenix
Census Tract 924.02; Maricopa County; Arizona,3484,688,04,013,092402,04013092402,Phoenix
Census Tract 925; Maricopa County; Arizona,4633,919,04,013,092500,04013092500,Phoenix
