NAME,poverty_universe,below_poverty_count,state,county,tract,GEOID,city
Census Tract 2322.03; Harris County; Texas,6428,717,48,201,232203,48201232203,Houston
Census Tract 2323.03; Harris County; Texas,5395,1161,48,201,232303,48201232303,Houston
Census Tract 2323.04; Harris County; Texas,7378,2053,48,201,232304,48201232304,Houston
Census Tract 2323.05; Harris County; Texas,11504,1710,48,201,232305,48201232305,Houston
Census Tract 2323.06; Harris County; Texas,4029,636,48,201,232306,48201232306,Houston
Census Tract 2324.02; Harris County; Texas,4607,941,48,201,232402,48201232402,Houston
Census Tract 2324.03; Harris County; Texas,4142,798,48,201,232403,48201232403,Houston
Census Tract 2324.04; Harris County; Texas,3562,758,48,201,232404,48201232404,Houston
Census Tract 2324.05; Harris County; Texas,5932,930,48,201,232405,48201232405,Houston
Census Tract 2325; Harris County; Texas,3678,1508,48,201,232500,48201232500,Houston
Census Tract 2326; Harris County; Texas,2354,208,48,201,232600,48201232600,Houston
Census Tract 2327.01; Harris County; Texas,7291,2421,48,201,232701,48201232701,Houston
Census Tract 2327.03; Harris County; Texas,2526,692,48,201,232703,48201232703,Houston
Census Tract 2327.04; Harris County; Texas,1823,211,48,201,232704,48201232704,Houston
Census Tract 2328.01; Harris County; Texas,2671,207,48,201,232801,48201232801,Houston
Census Tract 2328.02; Harris County; Texas,2907,214,48,201,232802,48201232802,Houston
Census Tract 2329.01; Harris County; Texas,4743,234,48,201,232901,48201232901,Houston
Census Tract 2329.02; Harris County; Texas,4651,322,48,201,232902,48201232902,Houston
Census Tract 2330.01; Harris County; Texas,4276,718,48,201,233001,48201233001,Houston
Census Tract 2330.02; Harris County; Texas,4142,297,48,201,233002,48201233002,Houston
Census Tract 2330.03; Harris County; Texas,2755,336,48,201,233003,48201233003,Houston
Census Tract 2331.01; Harris County; Texas,4502,1220,48,201,233101,48201233101,Houston
Census Tract 2331.03; Harris County; Texas,5212,968,48,201,233103,48201233103,Houston
Census Tract 2331.04; Harris County; Texas,2544,772,48,201,233104,48201233104,Houston
Census Tract 2331.05; Harris County; Texas,4871,1608,48,201,233105,48201233105,Houston
Census Tract 2332; Harris County; Texas,6129,852,48,201,233200,48201233200,Houston
Census Tract 2333; Harris County; Texas,4637,955,48,201,233300,48201233300,Houston
