GEOID,total_population,lst_c,hi_c,quadrant,city,lst_median_city,hi_median_city
48201313201,1588,48.466074456336344,34.171944709656074,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201411302,2333,48.534516112813506,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201231400,3123,46.5669118815909,34.07099544825302,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201530200,3820,47.277502865208426,34.06943130034954,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201220100,1400,48.33905153568268,34.06312454115072,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201220200,2345,48.40509169571269,34.06312454115072,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201521800,4734,48.93762568055114,34.075192871938214,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201521900,6394,47.17671529588951,34.075192871938214,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201530300,2237,46.781891734983695,34.06312454115072,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48157670202,5107,47.03357811464225,34.17750044389428,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48157672902,9174,48.842335901229056,34.308247616940264,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48157670201,1687,47.19008845169433,34.17750044389428,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201532800,1946,46.59160932979952,34.06943130034954,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201533000,2472,46.53026380183103,34.06943130034954,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201542500,4178,48.05856979558409,34.18258016559219,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201453202,4863,51.587115483803075,34.19907681151132,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201980400,3760,50.14781227373849,34.171944709656074,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201980200,9338,49.78711280124764,34.171944709656074,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201432804,2164,51.345747158859425,34.182124562548104,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201331602,3199,47.0604659246182,34.18305435169938,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201320601,2135,46.93409184512534,34.175943089573586,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201350601,4120,44.93366913660563,34.30535637413309,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201431401,2534,52.403194749681774,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201511301,4839,48.57421057634616,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201330303,4858,46.97217809074503,34.189995108284705,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201334003,5045,48.663950091753776,34.175943089573586,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201410900,3514,49.9539134418087,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201340302,6673,46.469713113075805,34.2399369555051,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201330301,8266,48.15811397978689,34.189995108284705,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201334001,3286,50.15176044381525,34.175943089573586,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201222501,3188,49.46264766221159,34.05868849419365,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201341302,3751,48.45381996205398,34.30535637413309,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201310500,3544,49.56491201715773,34.171944709656074,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201453300,4589,51.812415087638456,34.19907681151132,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201420300,3666,48.33848385254547,34.189995108284705,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201420500,3577,47.46207828220616,34.189995108284705,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201980000,14,49.71663533677845,34.175943089573586,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201333600,3669,43.34413299105829,34.175943089573586,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201333700,3709,48.81108403724019,34.175943089573586,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201410300,3917,47.22243040850002,34.19809785111112,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201455300,14134,49.83669388490663,34.18258016559219,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201320700,3850,48.96235741022508,34.175943089573586,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201423402,4333,49.470962646820865,34.19907681151132,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201423401,5085,49.03040030389424,34.19907681151132,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201522402,3768,48.72013079151834,34.128658717243155,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201522401,5337,46.77798852786129,34.128658717243155,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201552002,1457,50.97332604139781,33.93924337591106,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201511600,3492,48.34435758027233,34.06312454115072,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201520100,3047,50.65638624398411,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201451902,2593,47.93445977042772,34.182124562548104,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201453403,4112,51.46949650015628,34.19907681151132,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201453601,1604,49.65490116838698,34.19907681151132,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201453501,6415,51.34207982939664,34.19907681151132,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201453502,3454,50.093044505653005,34.19907681151132,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201410402,2996,47.71749980553693,34.171944709656074,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201431302,4936,51.532178804989904,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201452202,3464,49.47054016612798,34.182124562548104,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201451700,4644,50.77395782255965,34.20131872067585,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201251000,3147,38.93634632243583,33.932678593872126,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201350300,6260,47.83565168000002,34.184396149132105,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201350500,6586,47.069545227923264,34.30535637413309,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201240101,2295,48.593727060496406,34.00543923696523,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
