ALAND,AWATER,COUNTYFP,GEOID,NAME,NAMELSAD,STATEFP,TRACTCE,area_km2,below_poverty_count,below_poverty_count_clean,city,high_poverty_flag,inequity_group,low_income_flag,hi_summer_mean_c,hi_summer_median_c,median_household_income,median_household_income_clean,poverty_rate,poverty_universe,poverty_universe_clean,total_population,total_population_clean
1333564,0,013,04013108302,1083.02,Census Tract 1083.02,04,108302,1.3327816773068335,174,174,Phoenix,False,High income + Low poverty,False,,,76181,76181.0,0.06473214285714286,2688,2688,2688,2688
1325956,0,013,04013082018,820.18,Census Tract 820.18,04,082018,1.3253356887785892,419,419,Phoenix,False,High income + Low poverty,False,,,82106,82106.0,0.08053046319431098,5203,5203,5203,5203
2012357,0,013,04013616500,6165,Census Tract 6165,04,616500,2.0112680810548893,570,570,Phoenix,True,High income + High poverty,False,32.62849711203191,32.62849711203191,78088,78088.0,0.15472312703583063,3684,3684,3685,3685
1258866,0,013,04013618700,6187,Census Tract 6187,04,618700,1.2581718189370708,237,237,Phoenix,False,High income + Low poverty,False,,,84813,84813.0,0.08063967335828513,2939,2939,2939,2939
4413382,750,013,04013116730,1167.30,Census Tract 1167.30,04,116730,4.411797821826935,58,58,Phoenix,False,High income + Low poverty,False,33.18975435846057,33.18975435846057,140729,140729.0,0.031746031746031744,1827,1827,1827,1827
64322002,873,013,04013116733,1167.33,Census Tract 1167.33,04,116733,64.28719950585433,0,0,Phoenix,False,Missing,False,33.70181159787861,33.68585166804336,-666666666,,0.0,8,8,8,8
2694262,0,013,04013616300,6163,Census Tract 6163,04,616300,2.6928514461711233,62,62,Phoenix,False,High income + Low poverty,False,32.62849711203191,32.62849711203191,99722,99722.0,0.03276955602536998,1892,1892,1892,1892
9148409,28572,013,04013610600,6106,Census Tract 6106,04,610600,9.172039993334813,260,260,Phoenix,False,High income + Low poverty,False,32.424856621511154,32.424856621511154,133571,133571.0,0.04427038991997276,5873,5873,5980,5980
2541598,42523,013,04013111900,1119,Census Tract 1119,04,111900,2.582712264096869,112,112,Phoenix,False,High income + Low poverty,False,33.55384219869438,33.55384219869438,138241,138241.0,0.044889779559118236,2495,2495,2495,2495
1324338,0,013,04013617100,6171,Census Tract 6171,04,617100,1.3235649808867296,42,42,Phoenix,False,High income + Low poverty,False,32.705018891501915,32.705018891501915,111161,111161.0,0.018708240534521157,2245,2245,2245,2245
14866699,17173,013,04013614700,6147,Census Tract 6147,04,614700,14.87567849881632,407,407,Phoenix,False,Low income + Low poverty,True,32.683435825497554,32.705018891501915,54716,54716.0,0.12299788455726805,3309,3309,3309,3309
1973896,0,013,04013614800,6148,Census Tract 6148,04,614800,1.972808709045102,575,575,Phoenix,True,Low income + High poverty,True,32.705018891501915,32.705018891501915,72022,72022.0,0.13206247129076712,4354,4354,4374,4374
1227314,23669,013,04013104501,1045.01,Census Tract 1045.01,04,104501,1.2502982474608189,934,934,Phoenix,True,Low income + High poverty,True,33.3082424010499,33.3082424010499,48135,48135.0,0.22965330710597492,4067,4067,4080,4080
1342083,0,013,04013104502,1045.02,Census Tract 1045.02,04,104502,1.3413485372113014,1045,1045,Phoenix,True,Low income + High poverty,True,33.3082424010499,33.3082424010499,56169,56169.0,0.19547325102880658,5346,5346,5456,5456
7780043,4519,013,04013107900,1079,Census Tract 1079,04,107900,7.779890607638071,539,539,Phoenix,True,High income + High poverty,False,33.3145440082961,33.3145440082961,107559,107559.0,0.1529078014184397,3525,3525,3532,3532
3793388,16550,013,04013108000,1080,Census Tract 1080,04,108000,3.8076322304398693,22,22,Phoenix,False,High income + Low poverty,False,33.684223247532515,33.684223247532515,250001,250001.0,0.007031000319590924,3129,3129,3129,3129
2635515,0,013,04013103205,1032.05,Census Tract 1032.05,04,103205,2.6339315971719532,134,134,Phoenix,False,High income + Low poverty,False,32.58828848276658,32.58828848276658,118472,118472.0,0.054760931753167146,2447,2447,2447,2447
2573799,0,013,04013103206,1032.06,Census Tract 1032.06,04,103206,2.5722333285277132,78,78,Phoenix,False,High income + Low poverty,False,32.58828848276658,32.58828848276658,151369,151369.0,0.03415061295971979,2284,2284,2284,2284
1297867,0,013,04013082010,820.10,Census Tract 820.10,04,082010,1.297257541338159,746,746,Phoenix,True,High income + High poverty,False,34.18679044946821,34.18679044946821,87200,87200.0,0.1354639549664064,5507,5507,5702,5702
2420553,0,013,04013103207,1032.07,Census Tract 1032.07,04,103207,2.4190645266755406,92,92,Phoenix,False,High income + Low poverty,False,32.58828848276658,32.58828848276658,166250,166250.0,0.04362256993835941,2109,2109,2215,2215
2777556,0,013,04013103208,1032.08,Census Tract 1032.08,04,103208,2.77591119827309,236,236,Phoenix,False,Low income + Low poverty,True,33.3145440082961,33.3145440082961,74129,74129.0,0.06283280085197018,3756,3756,3756,3756
6494901,101790,013,04013103209,1032.09,Census Tract 1032.09,04,103209,6.592709831455025,232,232,Phoenix,False,High income + Low poverty,False,33.3145440082961,33.3145440082961,138803,138803.0,0.04679306171843485,4958,4958,4961,4961
1333357,0,013,04013116707,1167.07,Census Tract 1167.07,04,116707,1.3325676512023616,21,21,Phoenix,False,High income + Low poverty,False,33.87067866933084,33.87067866933084,108194,108194.0,0.006687898089171975,3140,3140,3157,3157
3320677,47415,013,04013116708,1167.08,Census Tract 1167.08,04,116708,3.3660924481136534,338,338,Phoenix,False,High income + Low poverty,False,33.87067866933084,33.87067866933084,95123,95123.0,0.06252312245652979,5406,5406,5406,5406
1087125,0,013,04013116709,1167.09,Census Tract 1167.09,04,116709,1.0864730534982623,750,750,Phoenix,True,Low income + High poverty,True,33.87067866933084,33.87067866933084,61778,61778.0,0.2527805864509606,2967,2967,2987,2987
3827560,0,013,04013116710,1167.10,Census Tract 1167.10,04,116710,3.82532629144436,776,776,Phoenix,True,High income + High poverty,False,33.722817068300856,33.68585166804336,146020,146020.0,0.14863053054970313,5221,5221,5221,5221
