STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,city,city_name,NAME_acs,population,poverty_universe,poverty_below,poverty_rate,acs_year,state,county,tract,tract_area_km2
12,086,005004,12086005004,1400000US12086005004,50.04,Census Tract 50.04,G5020,S,946883,10500,+25.7872674,-080.2471794,miami,Miami,,,,,,,,,,0.9567515163167245
12,086,005706,12086005706,1400000US12086005706,57.06,Census Tract 57.06,G5020,S,198154,47751,+25.7789496,-080.2854467,miami,Miami,,,,,,,,,,0.24573896166340548
12,086,005708,12086005708,1400000US12086005708,57.08,Census Tract 57.08,G5020,S,824772,0,+25.7748651,-080.2769457,miami,Miami,,,,,,,,,,0.824218717200517
12,086,005003,12086005003,1400000US12086005003,50.03,Census Tract 50.03,G5020,S,720183,41105,+25.7921933,-080.2489634,miami,Miami,,,,,,,,,,0.7607851311067062
12,086,005707,12086005707,1400000US12086005707,57.07,Census Tract 57.07,G5020,S,493229,0,+25.7745134,-080.2851510,miami,Miami,,,,,,,,,,0.4928975389769526
12,086,006721,12086006721,1400000US12086006721,67.21,Census Tract 67.21,G5020,S,48789,0,+25.7643373,-080.1904636,miami,Miami,,,,,,,,,,0.04875828398255959
12,086,002708,12086002708,1400000US12086002708,27.08,Census Tract 27.08,G5020,S,154639,1011380,+25.7999440,-080.1863826,miami,Miami,,,,,,,,,,1.1652832992412754
12,086,007005,12086007005,1400000US12086007005,70.05,Census Tract 70.05,G5020,S,442831,0,+25.7408226,-080.2423726,miami,Miami,,,,,,,,,,0.4425388829155015
12,086,003709,12086003709,1400000US12086003709,37.09,Census Tract 37.09,G5020,S,75286,0,+25.7821926,-080.1949309,miami,Miami,,,,,,,,,,0.0752371242049643
12,086,006608,12086006608,1400000US12086006608,66.08,Census Tract 66.08,G5020,S,1112524,0,+25.7590824,-080.2086544,miami,Miami,,,,,,,,,,1.1118110068539298
12,086,005306,12086005306,1400000US12086005306,53.06,Census Tract 53.06,G5020,S,295211,0,+25.7678287,-080.2109853,miami,Miami,,,,,,,,,,0.29502121090951555
12,086,006607,12086006607,1400000US12086006607,66.07,Census Tract 66.07,G5020,S,381351,0,+25.7643408,-080.2080152,miami,Miami,,,,,,,,,,0.38110726471396145
12,086,006604,12086006604,1400000US12086006604,66.04,Census Tract 66.04,G5020,S,120506,0,+25.7634764,-080.1983377,miami,Miami,,,,,,,,,,0.12042859541943765
12,086,006716,12086006716,1400000US12086006716,67.16,Census Tract 67.16,G5020,S,92857,0,+25.7601624,-080.1935811,miami,Miami,,,,,,,,,,0.09279737976003456
12,086,006717,12086006717,1400000US12086006717,67.17,Census Tract 67.17,G5020,S,47423,0,+25.7625208,-080.1942985,miami,Miami,,,,,,,,,,0.04739218287881437
12,086,006719,12086006719,1400000US12086006719,67.19,Census Tract 67.19,G5020,S,69923,0,+25.7649301,-080.1943415,miami,Miami,,,,,,,,,,0.06987880382472243
12,086,006603,12086006603,1400000US12086006603,66.03,Census Tract 66.03,G5020,S,139922,0,+25.7630490,-080.1962730,miami,Miami,,,,,,,,,,0.13983290888563527
12,086,007104,12086007104,1400000US12086007104,71.04,Census Tract 71.04,G5020,S,609297,0,+25.7351674,-080.2414698,miami,Miami,,,,,,,,,,0.6088980178257142
12,086,006707,12086006707,1400000US12086006707,67.07,Census Tract 67.07,G5020,S,180058,2175837,+25.7655243,-080.1843489,miami,Miami,,,,,,,,,,2.354400972757359
12,086,006714,12086006714,1400000US12086006714,67.14,Census Tract 67.14,G5020,S,112216,0,+25.7585740,-080.1908154,miami,Miami,,,,,,,,,,0.11214289682436622
12,086,002501,12086002501,1400000US12086002501,25.01,Census Tract 25.01,G5020,S,943719,0,+25.8058883,-080.2179628,miami,Miami,,,,,,,,,,0.9431058936244394
12,086,006722,12086006722,1400000US12086006722,67.22,Census Tract 67.22,G5020,S,47175,0,+25.7642428,-080.1891435,miami,Miami,,,,,,,,,,0.047144993014002406
12,086,005405,12086005405,1400000US12086005405,54.05,Census Tract 54.05,G5020,S,579321,0,+25.7761666,-080.2322071,miami,Miami,,,,,,,,,,0.5789437882265414
12,086,005103,12086005103,1400000US12086005103,51.03,Census Tract 51.03,G5020,S,326645,0,+25.7813636,-080.2353121,miami,Miami,,,,,,,,,,0.3264303120495073
12,086,490100,12086490100,1400000US12086490100,4901,Census Tract 4901,G5020,S,634164,11042,+25.7807427,-080.2578198,miami,Miami,,,,,,,,,,0.6447782443201807
12,086,004901,12086004901,1400000US12086004901,49.01,Census Tract 49.01,G5020,S,1550107,137350,+25.7887074,-080.2644376,miami,Miami,,,,,,,,,,1.6863356262956504
