city,GEOID,lst_c,hi_c,hi_minus_lst,lst_hot_q75,hi_hot_q75,mismatch_class,priority_flag,lst_z_city,hi_z_city,hi_minus_lst_z
las_vegas,32003003219,44.70318761384338,30.68612509371,-14.017062520133384,False,False,Neither hotspot,True,-1.736620836654823,-0.3579773999890631,1.3786434366657598
las_vegas,32003004907,48.40704545454549,32.08101575859078,-16.32602969595471,True,True,Both LST and HI hotspot,False,1.060306070706621,0.8586085896011912,-0.20169748110542973
las_vegas,32003005904,50.08782933252306,32.6344003811624,-17.453428951360657,True,True,Both LST and HI hotspot,False,2.329531255894518,1.3412557214700287,-0.9882755344244891
las_vegas,32003001715,48.95231277533043,32.08101575859078,-16.871297016739646,True,True,Both LST and HI hotspot,False,1.4720586019320583,0.8586085896011912,-0.613450012330867
las_vegas,32003001902,46.597076923076955,31.627775852444717,-14.969301070632238,False,False,Neither hotspot,True,-0.30647146365528094,0.46330497647705426,0.7697764401323353
las_vegas,32003003242,45.87562253743109,30.8977331107037,-14.97788942672739,False,False,Neither hotspot,True,-0.8512696903778079,-0.1734185989008675,0.6778510914769403
las_vegas,32003003240,45.329224353628035,29.196986929686325,-16.13223742394171,False,False,Neither hotspot,False,-1.2638761801891172,-1.6567635145769033,-0.3928873343877861
las_vegas,32003002000,46.825841708542754,31.627775852444717,-15.198065856098037,False,False,Neither hotspot,True,-0.1337222892958316,0.46330497647705426,0.5970272657728859
las_vegas,32003003239,44.93018105849586,28.819043333904688,-16.111137724591174,False,False,Neither hotspot,False,-1.565209270539524,-1.9863957180604654,-0.4211864475209415
las_vegas,32003003245,46.05105494505497,30.8977331107037,-15.15332183435127,False,False,Neither hotspot,True,-0.718793865870078,-0.1734185989008675,0.5453752669692105
las_vegas,32003005852,46.05327466666669,28.611279124944655,-17.441995541722033,False,False,Neither hotspot,False,-0.7171176678706741,-2.16760205352668,-1.450484385656006
las_vegas,32003003320,46.12325325325329,30.8977331107037,-15.225520142549588,False,False,Neither hotspot,True,-0.6642741192840242,-0.1734185989008675,0.4908555203831567
