GEOID,city,area_km2,total_population_clean,median_household_income_clean,poverty_rate,inequity_group
04013110001,Phoenix,1.3927795311047544,4619,72250.0,0.1752979414951246,Low income + High poverty
04013103210,Phoenix,2.3345114977286117,7951,76329.0,0.06321617097978628,High income + Low poverty
04013103211,Phoenix,2.712023248932179,4744,113295.0,0.04928087986463621,High income + Low poverty
04013103212,Phoenix,2.6052766634334286,4343,125129.0,0.0383008356545961,High income + Low poverty
04013103214,Phoenix,2.5966569856047266,3814,126000.0,0.018167456556082148,High income + Low poverty
04013103215,Phoenix,2.7090281885025997,3064,146154.0,0.03488372093023256,High income + Low poverty
04013109802,Phoenix,1.301384221978311,4342,73023.0,0.19824196160074023,Low income + High poverty
04013104203,Phoenix,2.581341129059733,7374,86296.0,0.062287963088614465,High income + Low poverty
04013115700,Phoenix,2.586653368592706,7697,79757.0,0.13615694426399896,High income + High poverty
04013107202,Phoenix,1.2922440397482333,5132,86602.0,0.17836142689141513,High income + High poverty
04013112519,Phoenix,1.3079024806698065,4611,47379.0,0.4166117336849044,Low income + High poverty
04013112521,Phoenix,0.5763740935802194,3253,48700.0,0.12665232093452197,Low income + Low poverty
04013112524,Phoenix,3.0477580625302787,5214,46148.0,0.2867280398925969,Low income + High poverty
04013109401,Phoenix,1.3000151577998997,3224,41265.0,0.23604218362282878,Low income + High poverty
04013112515,Phoenix,2.608371231022783,4765,68338.0,0.11458551941238194,Low income + Low poverty
04013112522,Phoenix,2.0488661347338604,6576,70191.0,0.08409367396593674,Low income + Low poverty
04013107002,Phoenix,1.2858830006835746,3810,65395.0,0.3486335898116211,Low income + High poverty
04013107001,Phoenix,1.3061054115579562,4754,54136.0,0.35376532399299476,Low income + High poverty
04013113800,Phoenix,18.101764595288536,2610,68227.0,0.3078401229823213,Low income + High poverty
04013112523,Phoenix,2.566511645779643,4192,57813.0,0.18010496183206107,Low income + High poverty
04013116202,Phoenix,1.4533598098121099,4898,89825.0,0.0912854481473815,High income + Low poverty
04013115200,Phoenix,7.262105431115384,3545,61250.0,0.21861777150916784,Low income + High poverty
04013115300,Phoenix,4.148014514901481,2567,36106.0,0.37106416899163014,Low income + High poverty
04013115500,Phoenix,2.5974911449912987,3712,45206.0,0.2518258047065188,Low income + High poverty
04013115600,Phoenix,2.551281878055877,5137,60838.0,0.19661280903250924,Low income + High poverty
04013115900,Phoenix,2.567857174048384,5849,60324.0,0.16863550761855847,Low income + High poverty
04013116000,Phoenix,2.4787621794570125,6454,61130.0,0.14766036566470406,Low income + High poverty
04013116100,Phoenix,2.4156928892922016,4721,45588.0,0.3005719127303537,Low income + High poverty
04013116619,Phoenix,9.366142727470333,5575,122500.0,0.06600896860986546,High income + Low poverty
04013107300,Phoenix,2.5738554763995514,6528,70274.0,0.1951593137254902,Low income + High poverty
04013109703,Phoenix,1.292599498782872,3010,53681.0,0.2069767441860465,Low income + High poverty
04013105101,Phoenix,5.992673732357656,4279,181520.0,0.02299389957766307,High income + Low poverty
04013105200,Phoenix,4.049882010521559,5887,83476.0,0.030143051771117167,High income + Low poverty
04013105300,Phoenix,2.6527649019994928,4683,90054.0,0.08645720476706392,High income + Low poverty
04013108100,Phoenix,1.4674085108792212,2154,102278.0,0.023676880222841225,High income + Low poverty
04013109200,Phoenix,2.595737554272294,4711,44080.0,0.14540437274464021,Low income + High poverty
04013106400,Phoenix,2.588180460235146,3253,90146.0,0.09498924070089149,High income + Low poverty
04013116729,Phoenix,3.7920269346445252,3793,162552.0,0.012391247034010018,High income + Low poverty
04013106900,Phoenix,2.6034738923514134,7578,59475.0,0.22948007389812616,Low income + High poverty
04013112504,Phoenix,1.2636414498934467,3720,68409.0,0.1836569579288026,Low income + High poverty
04013092719,Phoenix,2.5673246257505973,5391,75721.0,0.09340044742729306,Low income + Low poverty
04013103219,Phoenix,2.863873677432666,3811,104868.0,0.055890842298609286,High income + Low poverty
04013103220,Phoenix,2.1706047226627576,2820,98611.0,0.07056737588652483,High income + Low poverty
04013103701,Phoenix,2.5713546976992725,4947,52516.0,0.2531440162271805,Low income + High poverty
04013103702,Phoenix,4.714604200317111,3557,88526.0,0.08152937868990723,High income + Low poverty
04013618100,Phoenix,2.726931847913981,4501,99583.0,0.031992890468784715,High income + Low poverty
04013618200,Phoenix,1.3045185901993501,3992,85101.0,0.14253507014028055,High income + High poverty
04013618500,Phoenix,1.506692842907603,4210,54077.0,0.08458066048942742,Low income + Low poverty
04013618600,Phoenix,2.2943314673740183,4879,62305.0,0.10620203277328355,Low income + Low poverty
04013618800,Phoenix,1.2574114881401122,5919,48750.0,0.11352452061768199,Low income + Low poverty
04013619000,Phoenix,1.2886715161875433,2783,52772.0,0.08587854832914121,Low income + Low poverty
04013112510,Phoenix,10.285049615373394,4600,90929.0,0.1291304347826087,High income + Low poverty
04013617300,Phoenix,1.1001282564871049,2950,91875.0,0.06474576271186441,High income + Low poverty
04013113201,Phoenix,0.6483463885544472,2106,61724.0,0.21699905033238368,Low income + High poverty
