band,PC1,PC2,PC3,PC4,PC5,PC6,PC7
A31,-0.027441195570821666,0.10054376316152457,-0.27977803030945403,-0.07969063771632907,0.05722456341046386,0.1660524957730689,-0.08862711151265906
A32,-0.0346183432196405,0.2582480044940375,0.02846243556457055,-0.1407855157436536,-0.04749480484308906,-0.044249748075874236,0.043141666655164876
A33,-0.07079812502513783,-0.19136310785497387,-0.06262159245993223,-0.03815728470466249,0.21178664726755408,0.10211350393840446,0.16056279098184337
A34,0.19070665504662337,-0.05741130201430903,-0.08664904827255661,0.10474427195811906,0.03203241869011139,-0.07612958451753271,0.011219646240824563
A35,-0.13883959904687915,0.11204892467465027,0.1589720831964352,-0.07330664179900578,0.1901585670795977,-0.09262051944975284,0.06508124693091481
A36,-0.15715318770076278,0.01491220695351692,-0.0022513909708232627,-0.019403197787074965,0.09051804900286173,0.0992704708075467,-0.16746675104354247
A37,0.14367824718234262,0.10242545447811484,-0.06903114681256826,-0.19283508294361437,-0.08030802846032406,0.01770418795314535,0.07944352572854821
A38,0.024582623142064133,-0.018561396709365692,-0.23944553043532477,-0.03639830153851897,0.12178275024858445,-0.21383727744311234,-0.16910868045262312
A39,0.12787406525250633,0.1086187506468807,0.0967013824067157,0.07110986540618763,0.0570302885857061,0.1949422337456913,-0.24335876120667807
A40,-0.036241732198282965,0.1453257734194772,0.13428713179738086,0.1845570847437186,0.08388312334219278,0.04954601696643364,-0.10440982099414962
A41,-0.16944711357566547,0.06584151634751818,-0.07099050823787226,0.04174763140063816,0.021311251695169894,0.10238306043967124,0.09417182706902262
A42,-0.07357757589328294,-0.22867447762520826,-0.08666018316494496,0.03690473416702828,-0.027922368609367934,0.08538537667958362,-0.17740271868227747
A43,-0.0567560682239215,-0.2088771258183407,0.023231345661609858,-0.15621748436204158,0.11663584113929415,-0.07714687406464554,0.1536885310342041
A44,0.06906268046454722,-0.19461363444757587,-0.10865108592997254,0.12287154574791041,-0.15643003430571298,0.11434940035518047,0.045096011707032375
A45,-0.043544506274328376,0.016335780545975724,-0.05543768260861808,0.089276192974322,-0.23885390122904224,0.3255141433921797,0.04391934424319409
A46,-0.12900494018106295,0.03608487279567058,0.22539505119281425,0.0808438785693161,-0.1069114535083588,0.026193665357124273,0.04885561179276584
A47,0.166156016015429,0.030920838284979796,-0.015049954121322378,-0.12797503295050672,-0.068546254379213,0.13856476241760604,-0.06187539608984212
A48,0.08171425022808435,-0.09198247907599924,0.05803235869426907,-0.18564406114228826,-0.29365177735177,-0.014494991903536349,-0.06010111414403986
A49,0.022343306574180384,0.12951415502289546,-0.11024301947495006,0.16060085361829055,-0.21422034089757147,-0.23267734773484564,0.07646645527407075
A50,0.17747152018960718,0.04808441539074289,0.1519162664283233,-0.03784692505639738,0.11544320050038503,-0.053325388530258054,-0.0947956603995266
A51,0.11074178526477811,0.23668453193094488,-0.0030587607423163904,0.012244811430543654,0.008848666504135828,0.1129996387276652,0.015528850028333986
A52,-0.1681869696061101,-0.014399647469874996,-0.14771170571628134,-0.09607965371732759,-0.03788956479902873,-0.05406847589555448,-0.12784877172774203
A53,-0.13789090802757942,-0.1662659446404746,0.0811518198376618,0.013750355442189418,0.0061431052976596325,-0.1577164642542213,0.07634039371240968
A54,0.13583412535661396,-0.06512555130119678,-0.05911213972992825,0.14171102365974322,0.07118509389938951,0.23556058146470288,0.08461555005298689
A55,-0.1703302555076522,0.09010224853344488,0.0063958285620982665,0.041655604609013124,0.02916755232521336,-0.0671641555676084,-0.19128195104506707
A56,0.19584099710679398,-0.08101637580843492,-0.06348496290081522,-0.011791316471659822,0.03665394678631042,0.02070780560637758,-0.003990750611540045
A57,-0.1315477868131945,-0.041906512776098206,0.03111418422701311,0.04609709383792616,0.27333483437873385,0.21540879773390653,0.060263243557420104
A58,-0.0833599630138231,0.07313506985354161,-0.05504635791040865,-0.009022751818950226,-0.15862463461825957,0.3424965400403197,0.20443433422753396
A59,-0.017598951673693006,0.01129835299796248,-0.06981818762211522,0.3187236415582439,-0.07882479787643909,-0.016955850985041394,0.1303365053847972
