city,score,path,rows,crs,n_cols,heat_related_cols,all_columns_preview
miami,128,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/miami/working/miami_heat_master_template.csv,,,37,"lst_c, hi_c, hi_minus_lst, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c","STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2, lst_c, hi_c, hi_minus_lst, air_temp_c, rh_pct, analysis_ready, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c"
miami,3,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/miami/working/miami_tracts_boundary_acs.gpkg,129.0,EPSG:4326,26,,"STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2, geometry"
miami,3,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/miami/miami_tracts_boundary_acs.gpkg,129.0,EPSG:4326,26,,"STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2, geometry"
miami,-47,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/miami/working/miami_tracts_boundary_acs.csv,,,25,,"STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2"
boston,354,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_master_lst_hi_hotcompare.gpkg,207.0,EPSG:4326,38,"lst_c, hi_c, hi_minus_lst, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c","STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2, lst_c, hi_c, hi_minus_lst, air_temp_c, rh_pct, analysis_ready, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c, geometry"
boston,178,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/boston/working/boston_heat_master_template.gpkg,207.0,EPSG:4326,38,"lst_c, hi_c, hi_minus_lst, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c","STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2, lst_c, hi_c, hi_minus_lst, air_temp_c, rh_pct, analysis_ready, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c, geometry"
boston,128,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/boston/working/boston_heat_master_template.csv,,,37,"lst_c, hi_c, hi_minus_lst, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c","STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2, lst_c, hi_c, hi_minus_lst, air_temp_c, rh_pct, analysis_ready, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c"
boston,3,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/boston/working/boston_tracts_boundary_acs.gpkg,207.0,EPSG:4326,26,,"STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2, geometry"
boston,3,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_tracts_boundary_acs.gpkg,207.0,EPSG:4326,26,,"STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2, geometry"
boston,-47,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/boston/working/boston_tracts_boundary_acs.csv,,,25,,"STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2"
san_francisco,354,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/san_francisco/san_francisco_master_lst_hi_hotcompare.gpkg,260.0,EPSG:4326,34,"hi_c, lst_c, lst_pct, hi_pct, hi_minus_lst_pct, lst_hot, hi_hot, mismatch_class, priority_flag, q75_lst_c, q75_hi_c, q75_hi_minus_lst_pct","ALAND, AWATER, COUNTYFP, FUNCSTAT, GEOID, GEOIDFQ, INTPTLAT, INTPTLON, MTFCC, NAME, NAMELSAD, STATEFP, TRACTCE, centroid_in_city, city, city_context, city_label, hi_c, intersects_city, lst_c, state_fips, state_name, analysis_ready, lst_pct, hi_pct, hi_minus_lst_pct, lst_hot, hi_hot, mismatch_class, priority_flag, q75_lst_c, q75_hi_c, q75_hi_minus_lst_pct, geometry"
san_francisco,178,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/san_francisco/working/san_francisco_heat_master_template.gpkg,260.0,EPSG:4326,34,"hi_c, lst_c, lst_pct, hi_pct, hi_minus_lst_pct, lst_hot, hi_hot, mismatch_class, priority_flag, q75_lst_c, q75_hi_c, q75_hi_minus_lst_pct","ALAND, AWATER, COUNTYFP, FUNCSTAT, GEOID, GEOIDFQ, INTPTLAT, INTPTLON, MTFCC, NAME, NAMELSAD, STATEFP, TRACTCE, centroid_in_city, city, city_context, city_label, hi_c, intersects_city, lst_c, state_fips, state_name, analysis_ready, lst_pct, hi_pct, hi_minus_lst_pct, lst_hot, hi_hot, mismatch_class, priority_flag, q75_lst_c, q75_hi_c, q75_hi_minus_lst_pct, geometry"
san_francisco,128,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/san_francisco/working/san_francisco_heat_master_template.csv,,,33,"hi_c, lst_c, lst_pct, hi_pct, hi_minus_lst_pct, lst_hot, hi_hot, mismatch_class, priority_flag, q75_lst_c, q75_hi_c, q75_hi_minus_lst_pct","ALAND, AWATER, COUNTYFP, FUNCSTAT, GEOID, GEOIDFQ, INTPTLAT, INTPTLON, MTFCC, NAME, NAMELSAD, STATEFP, TRACTCE, centroid_in_city, city, city_context, city_label, hi_c, intersects_city, lst_c, state_fips, state_name, analysis_ready, lst_pct, hi_pct, hi_minus_lst_pct, lst_hot, hi_hot, mismatch_class, priority_flag, q75_lst_c, q75_hi_c, q75_hi_minus_lst_pct"
san_francisco,3,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/san_francisco/working/san_francisco_tracts_boundary.gpkg,260.0,EPSG:4326,21,,"STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, centroid_in_city, intersects_city, city, city_label, state_fips, state_name, city_context, geometry"
san_francisco,3,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/san_francisco/san_francisco_tracts_boundary.gpkg,260.0,EPSG:4326,21,,"STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, centroid_in_city, intersects_city, city, city_label, state_fips, state_name, city_context, geometry"
san_francisco,-47,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/san_francisco/working/san_francisco_tracts_boundary.csv,,,20,,"STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, centroid_in_city, intersects_city, city, city_label, state_fips, state_name, city_context"
atlanta,354,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_master_lst_hi_hotcompare.gpkg,223.0,EPSG:4326,34,"hi_c, lst_c, lst_pct, hi_pct, hi_minus_lst_pct, lst_hot, hi_hot, mismatch_class, priority_flag, q75_lst_c, q75_hi_c, q75_hi_minus_lst_pct","ALAND, AWATER, COUNTYFP, FUNCSTAT, GEOID, GEOIDFQ, INTPTLAT, INTPTLON, MTFCC, NAME, NAMELSAD, STATEFP, TRACTCE, centroid_in_city, city, city_context, city_label, hi_c, intersects_city, lst_c, state_fips, state_name, analysis_ready, lst_pct, hi_pct, hi_minus_lst_pct, lst_hot, hi_hot, mismatch_class, priority_flag, q75_lst_c, q75_hi_c, q75_hi_minus_lst_pct, geometry"
atlanta,178,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/atlanta/working/atlanta_heat_master_template.gpkg,223.0,EPSG:4326,34,"hi_c, lst_c, lst_pct, hi_pct, hi_minus_lst_pct, lst_hot, hi_hot, mismatch_class, priority_flag, q75_lst_c, q75_hi_c, q75_hi_minus_lst_pct","ALAND, AWATER, COUNTYFP, FUNCSTAT, GEOID, GEOIDFQ, INTPTLAT, INTPTLON, MTFCC, NAME, NAMELSAD, STATEFP, TRACTCE, centroid_in_city, city, city_context, city_label, hi_c, intersects_city, lst_c, state_fips, state_name, analysis_ready, lst_pct, hi_pct, hi_minus_lst_pct, lst_hot, hi_hot, mismatch_class, priority_flag, q75_lst_c, q75_hi_c, q75_hi_minus_lst_pct, geometry"
atlanta,128,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/atlanta/working/atlanta_heat_master_template.csv,,,33,"hi_c, lst_c, lst_pct, hi_pct, hi_minus_lst_pct, lst_hot, hi_hot, mismatch_class, priority_flag, q75_lst_c, q75_hi_c, q75_hi_minus_lst_pct","ALAND, AWATER, COUNTYFP, FUNCSTAT, GEOID, GEOIDFQ, INTPTLAT, INTPTLON, MTFCC, NAME, NAMELSAD, STATEFP, TRACTCE, centroid_in_city, city, city_context, city_label, hi_c, intersects_city, lst_c, state_fips, state_name, analysis_ready, lst_pct, hi_pct, hi_minus_lst_pct, lst_hot, hi_hot, mismatch_class, priority_flag, q75_lst_c, q75_hi_c, q75_hi_minus_lst_pct"
atlanta,3,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/atlanta/working/atlanta_tracts_boundary.gpkg,223.0,EPSG:4326,21,,"STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, centroid_in_city, intersects_city, city, city_label, state_fips, state_name, city_context, geometry"
atlanta,3,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_tracts_boundary.gpkg,223.0,EPSG:4326,21,,"STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, centroid_in_city, intersects_city, city, city_label, state_fips, state_name, city_context, geometry"
atlanta,-47,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/atlanta/working/atlanta_tracts_boundary.csv,,,20,,"STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, centroid_in_city, intersects_city, city, city_label, state_fips, state_name, city_context"
seattle,354,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/seattle/seattle_master_lst_hi_hotcompare.gpkg,199.0,EPSG:4326,34,"hi_c, lst_c, lst_pct, hi_pct, hi_minus_lst_pct, lst_hot, hi_hot, mismatch_class, priority_flag, q75_lst_c, q75_hi_c, q75_hi_minus_lst_pct","ALAND, AWATER, COUNTYFP, FUNCSTAT, GEOID, GEOIDFQ, INTPTLAT, INTPTLON, MTFCC, NAME, NAMELSAD, STATEFP, TRACTCE, centroid_in_city, city, city_context, city_label, hi_c, intersects_city, lst_c, state_fips, state_name, analysis_ready, lst_pct, hi_pct, hi_minus_lst_pct, lst_hot, hi_hot, mismatch_class, priority_flag, q75_lst_c, q75_hi_c, q75_hi_minus_lst_pct, geometry"
