band,PC1,PC2,PC3,PC4,PC5
A54,0.13583412547574222,-0.06512555502076628,-0.059112178041162235,0.1417104841367133,0.0711854954061633
A55,-0.17033025547423464,0.09010224751581776,0.006395828519773278,0.04165543220143441,0.02916743805643518
A56,0.1958409970860804,-0.08101637458000392,-0.06348496266163828,-0.011791252454570847,0.03665374852918256
A57,-0.13154778684164833,-0.041906509068109395,0.03111418443828891,0.04609706905828519,0.2733339437859372
A58,-0.08335996308594062,0.07313507254842293,-0.05504632803939584,-0.009022359978730517,-0.15862479755312772
A59,-0.017598951549232876,0.011298348506413576,-0.06981822228560951,0.3187232521207005,-0.07882412629164737
A60,0.1583512393669915,-0.13333622746778612,-0.042431742501284606,-0.04285176142537707,0.18409844556866534
A61,0.11736421343775152,-0.1656570220488738,0.14792785121666624,0.0410167346761223,0.09357652704896852
A62,-0.17846485757826183,-0.023858994342008194,-0.014070227292032616,-0.17075760810567114,-0.04362906875744646
A63,0.0023543353103356707,0.14124721830967613,-0.0694459679004969,0.018884507371737864,0.32847243556187183
