STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,ALAND,AWATER,area_km2,city,total_population,median_household_income,total_population_clean,median_household_income_clean,poverty_universe,below_poverty_count,poverty_universe_clean,below_poverty_count_clean,poverty_rate,low_income_flag,high_poverty_flag,inequity_group,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,n_nonnull_embed
04,013,109707,04013109707,1097.07,Census Tract 1097.07,665152,0,0.6648269586696,Phoenix,4833,46798,4833,46798.0,4833,1682,4833,1682,0.3480240016552866,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,612402,04013612402,6124.02,Census Tract 6124.02,52403648,21369,52.39481617297332,Phoenix,4979,147908,4979,147908.0,4963,227,4963,227,0.045738464638323595,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,109402,04013109402,1094.02,Census Tract 1094.02,1326622,0,1.3259514180848013,Phoenix,4721,76141,4721,76141.0,4673,745,4673,745,0.15942649261716244,False,True,High income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,615002,04013615002,6150.02,Census Tract 6150.02,8724848,30574,8.750264037291899,Phoenix,4841,143170,4841,143170.0,4785,115,4785,115,0.024033437826541274,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,615001,04013615001,6150.01,Census Tract 6150.01,6166007,0,6.162403506665203,Phoenix,7246,204453,7246,204453.0,7243,179,7243,179,0.024713516498688387,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,617001,04013617001,6170.01,Census Tract 6170.01,1022408,0,1.0218147092216647,Phoenix,0,-666666666,0,,0,0,0,0,,False,False,Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,614601,04013614601,6146.01,Census Tract 6146.01,1345372,0,1.3446622742717185,Phoenix,3220,66000,3220,66000.0,3220,279,3220,279,0.08664596273291926,True,False,Low income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,612302,04013612302,6123.02,Census Tract 6123.02,3662823,0,3.6608551526280744,Phoenix,4900,146728,4900,146728.0,4855,419,4855,419,0.086302780638517,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,612401,04013612401,6124.01,Census Tract 6124.01,3461648,0,3.4596676057731264,Phoenix,4196,118125,4196,118125.0,4196,289,4196,289,0.06887511916110582,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,112700,04013112700,1127,Census Tract 1127,2632211,0,2.630811705496462,Phoenix,7563,54845,7563,54845.0,7551,1926,7551,1926,0.2550655542312277,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
