band,PC1,PC2,PC3,PC4,PC5
A36,0.19806450003952086,-0.0048884668749995365,-0.09970781810817747,-0.03945048704967648,0.015370175682873195
A37,0.05785397529996973,-0.1762284486277665,0.07420571887788696,-0.08277682679384352,0.11640528889536413
A38,0.0395922800051141,-0.04016387410823922,0.19251765328432147,-0.11793392069444233,0.09193511443777107
A39,0.0825461311653273,0.18037551232396246,0.021229242687017022,0.0041860275194777604,0.13187588884514298
A40,0.20035091553060738,0.011638354498826857,-0.06372378627315013,-0.042915884757150344,-0.048233329282200546
A41,0.14116005262334091,-0.1241126437132621,0.01553752239538602,-0.009513014393312553,0.19779437962441643
A42,0.16432405533536554,0.13562099924286108,-0.02120054536868141,-0.0959627462050689,-0.030548115421290517
A43,-0.167276025502627,0.10777098160326457,-0.018535339153707024,0.07781028648723766,0.1475578773774788
A44,0.014406246610039182,0.2453841260764659,0.10416427322818965,0.16504738513039893,0.05010213107103281
A45,-0.10865794093272742,0.02292376708173122,-0.06243579401111022,-0.07644207611850436,-0.23241480147271842
A46,0.19555155829436172,-0.03719113540107369,-0.08887785857922145,-0.013691013483149344,-0.0463768542676663
A47,-0.11697169276991183,-0.05355256060314393,-0.035756484373249256,0.30018648768611017,0.09403852761817398
A48,-0.17769884095752328,-0.04257756925592642,-0.048181096652122335,-0.07402895789609874,-0.02178554439020673
A49,-0.15551274347731248,-0.10681687997248775,0.047166309477618004,0.19912725620095129,0.08559156548248012
A50,-0.17135802538659498,-0.012700383122777237,-0.018896884884253298,0.04610203421333013,0.13366928030966657
A51,-0.1409367941163741,-0.10120352639165882,0.1704850365222947,-0.051526826469315536,-0.05990148236896772
A52,0.20770831328171266,0.02533270694016078,0.018077460795867552,0.0357065663397407,-0.011329388655624089
A53,-0.12782007445709725,0.06404250189969177,-0.15073020743454318,-0.1443259063472318,0.08990107181195685
A54,-0.09912450047615337,0.139569101167433,0.15560796082455003,0.09477713452044156,-0.08312932609459595
A55,0.17597558604278019,-0.10935654149926166,0.04882076900567141,0.14327104212989408,-0.028506440660775793
A56,-0.15074305148102887,0.17015062655337193,0.02742824108823614,0.04429719473833692,0.04884825363526779
A57,-0.18294471461735712,-0.09232952718284383,-0.054878885162973484,-0.013314603544496538,0.07555286138949913
A58,-0.049840184603387565,-0.004351003608658449,0.2840389867934317,0.08176147947085374,0.012809763433893447
A59,-0.0970182603809602,-0.07994574561865492,-0.22890370777795155,-0.05515896536564953,0.13917164496170745
A60,-0.13535386018214943,0.04262625290736844,-0.14261658736937408,-0.03591093425836415,-0.10051572856292189
A61,-0.018752929731427406,0.24130032115890085,-0.04412307979978085,-0.14306303127137063,-0.014261900854554173
A62,0.19914533902706677,0.024916245074528474,-0.0869229210714612,-0.08874431621660088,-0.050859538704764326
A63,-0.027968590702151182,-0.24910391430852377,0.09417851439944114,0.014469386036630333,0.018677695145865703
