city,pc,sign,rank,embedding_dim,loading,abs_loading,explained_variance_ratio,cumulative_explained_variance
Houston,PC4,positive,4,A40,0.19254782305374374,0.19254782305374374,0.07179264673015207,0.6734889258125517
Houston,PC4,positive,5,A05,0.18563266129249748,0.18563266129249748,0.07179264673015207,0.6734889258125517
Houston,PC4,positive,6,A19,0.16610527217403653,0.16610527217403653,0.07179264673015207,0.6734889258125517
Phoenix,PC1,negative,1,A43,-0.167276025502627,0.167276025502627,0.32801050180082625,0.32801050180082625
Phoenix,PC1,negative,2,A50,-0.17135802538659498,0.17135802538659498,0.32801050180082625,0.32801050180082625
Phoenix,PC1,negative,3,A02,-0.17557866698245375,0.17557866698245375,0.32801050180082625,0.32801050180082625
Phoenix,PC1,negative,4,A48,-0.17769884095752328,0.17769884095752328,0.32801050180082625,0.32801050180082625
Phoenix,PC1,negative,5,A57,-0.18294471461735712,0.18294471461735712,0.32801050180082625,0.32801050180082625
Phoenix,PC1,negative,6,A34,-0.18777339309824242,0.18777339309824242,0.32801050180082625,0.32801050180082625
Phoenix,PC1,positive,1,A52,0.20770831328171266,0.20770831328171266,0.32801050180082625,0.32801050180082625
Phoenix,PC1,positive,2,A40,0.20035091553060738,0.20035091553060738,0.32801050180082625,0.32801050180082625
Phoenix,PC1,positive,3,A01,0.19960933191750785,0.19960933191750785,0.32801050180082625,0.32801050180082625
Phoenix,PC1,positive,4,A62,0.19914533902706677,0.19914533902706677,0.32801050180082625,0.32801050180082625
Phoenix,PC1,positive,5,A36,0.19806450003952086,0.19806450003952086,0.32801050180082625,0.32801050180082625
Phoenix,PC1,positive,6,A46,0.19555155829436172,0.19555155829436172,0.32801050180082625,0.32801050180082625
Phoenix,PC2,negative,1,A26,-0.1482120828773648,0.1482120828773648,0.16278531083630146,0.4907958126371277
Phoenix,PC2,negative,2,A13,-0.1502286916819621,0.1502286916819621,0.16278531083630146,0.4907958126371277
Phoenix,PC2,negative,3,A06,-0.1604767866166793,0.1604767866166793,0.16278531083630146,0.4907958126371277
Phoenix,PC2,negative,4,A37,-0.1762284486277665,0.1762284486277665,0.16278531083630146,0.4907958126371277
Phoenix,PC2,negative,5,A35,-0.23377251354251305,0.23377251354251305,0.16278531083630146,0.4907958126371277
Phoenix,PC2,negative,6,A63,-0.24910391430852377,0.24910391430852377,0.16278531083630146,0.4907958126371277
Phoenix,PC2,positive,1,A04,0.2852675891559986,0.2852675891559986,0.16278531083630146,0.4907958126371277
Phoenix,PC2,positive,2,A44,0.2453841260764659,0.2453841260764659,0.16278531083630146,0.4907958126371277
Phoenix,PC2,positive,3,A61,0.24130032115890085,0.24130032115890085,0.16278531083630146,0.4907958126371277
Phoenix,PC2,positive,4,A23,0.23298053663593946,0.23298053663593946,0.16278531083630146,0.4907958126371277
Phoenix,PC2,positive,5,A17,0.20202688941070895,0.20202688941070895,0.16278531083630146,0.4907958126371277
Phoenix,PC2,positive,6,A05,0.18804631948461573,0.18804631948461573,0.16278531083630146,0.4907958126371277
Phoenix,PC3,negative,1,A07,-0.18025431073640125,0.18025431073640125,0.13671836734705262,0.6275141799841804
Phoenix,PC3,negative,2,A15,-0.1831986757192275,0.1831986757192275,0.13671836734705262,0.6275141799841804
Phoenix,PC3,negative,3,A33,-0.18692176994777251,0.18692176994777251,0.13671836734705262,0.6275141799841804
Phoenix,PC3,negative,4,A24,-0.1871598990874402,0.1871598990874402,0.13671836734705262,0.6275141799841804
Phoenix,PC3,negative,5,A59,-0.22890370777795155,0.22890370777795155,0.13671836734705262,0.6275141799841804
Phoenix,PC3,negative,6,A22,-0.2486884898666442,0.2486884898666442,0.13671836734705262,0.6275141799841804
Phoenix,PC3,positive,1,A58,0.2840389867934317,0.2840389867934317,0.13671836734705262,0.6275141799841804
Phoenix,PC3,positive,2,A09,0.2675347121594929,0.2675347121594929,0.13671836734705262,0.6275141799841804
Phoenix,PC3,positive,3,A16,0.21806878525764858,0.21806878525764858,0.13671836734705262,0.6275141799841804
Phoenix,PC3,positive,4,A21,0.19662930033400042,0.19662930033400042,0.13671836734705262,0.6275141799841804
Phoenix,PC3,positive,5,A32,0.1946264435215958,0.1946264435215958,0.13671836734705262,0.6275141799841804
Phoenix,PC3,positive,6,A38,0.19251765328432147,0.19251765328432147,0.13671836734705262,0.6275141799841804
Phoenix,PC4,negative,1,A61,-0.14306303127137063,0.14306303127137063,0.07617614484853572,0.7036903248327161
Phoenix,PC4,negative,2,A53,-0.1443259063472318,0.1443259063472318,0.07617614484853572,0.7036903248327161
Phoenix,PC4,negative,3,A09,-0.14885183994586093,0.14885183994586093,0.07617614484853572,0.7036903248327161
Phoenix,PC4,negative,4,A08,-0.17041996397754353,0.17041996397754353,0.07617614484853572,0.7036903248327161
Phoenix,PC4,negative,5,A03,-0.2576995462770711,0.2576995462770711,0.07617614484853572,0.7036903248327161
Phoenix,PC4,negative,6,A26,-0.2642069891838385,0.2642069891838385,0.07617614484853572,0.7036903248327161
Phoenix,PC4,positive,1,A19,0.3361024335051725,0.3361024335051725,0.07617614484853572,0.7036903248327161
Phoenix,PC4,positive,2,A47,0.30018648768611017,0.30018648768611017,0.07617614484853572,0.7036903248327161
Phoenix,PC4,positive,3,A31,0.24991314692653585,0.24991314692653585,0.07617614484853572,0.7036903248327161
Phoenix,PC4,positive,4,A17,0.23086514192063046,0.23086514192063046,0.07617614484853572,0.7036903248327161
Phoenix,PC4,positive,5,A28,0.210951794123496,0.210951794123496,0.07617614484853572,0.7036903248327161
Phoenix,PC4,positive,6,A49,0.19912725620095129,0.19912725620095129,0.07617614484853572,0.7036903248327161
