city,GEOID,lst_c,hi_c,hi_minus_lst,lst_hot_q75,hi_hot_q75,mismatch_class,priority_flag
houston,48201330303,46.695952572396386,34.192265534091355,-12.503687038305031,False,False,Neither hotspot,True
houston,48201334003,48.290995836157734,34.175943089573586,-14.115052746584148,False,False,Neither hotspot,False
houston,48201410900,49.972530014043464,34.19809785111112,-15.774432162932342,True,True,Both LST and HI hotspot,False
houston,48201340302,46.39380299937587,34.23993695550511,-12.153866043870764,False,True,HI-only hotspot,True
houston,48201330301,47.841496835660514,34.189995108284705,-13.651501727375809,False,False,Neither hotspot,False
houston,48201334001,49.93253610787542,34.175943089573586,-15.756593018301835,True,False,LST-only hotspot,False
houston,48201222501,49.16693369658816,34.05868849419365,-15.108245202394507,False,False,Neither hotspot,False
houston,48201341302,47.540013258625905,34.30535637413309,-13.234656884492814,False,True,HI-only hotspot,True
houston,48201310500,48.925301040960775,34.171944709656074,-14.753356331304701,False,False,Neither hotspot,False
houston,48201453300,51.38092871776222,34.19907681151132,-17.1818519062509,True,True,Both LST and HI hotspot,False
houston,48201420300,48.25502380879724,34.189995108284705,-14.065028700512535,False,False,Neither hotspot,False
houston,48201420500,47.20335448269666,34.189995108284705,-13.013359374411955,False,False,Neither hotspot,False
houston,48201980000,49.73756924810176,34.175943089573586,-15.56162615852817,True,False,LST-only hotspot,False
houston,48201333600,43.5984547370195,34.17860981287076,-9.419844924148741,False,False,Neither hotspot,True
houston,48201333700,48.64326831339764,34.17772090510503,-14.465547408292608,False,False,Neither hotspot,False
houston,48201410300,47.056455474708216,34.19809785111112,-12.858357623597094,False,True,HI-only hotspot,True
houston,48201455300,49.73099198668961,34.1827846998137,-15.548207286875908,True,False,LST-only hotspot,False
houston,48201320700,48.56432013923455,34.175943089573586,-14.388377049660967,False,False,Neither hotspot,False
houston,48201423402,48.79439076644707,34.19907681151132,-14.595313954935754,False,True,HI-only hotspot,True
houston,48201423401,48.566013909583425,34.19907681151132,-14.366937098072107,False,True,HI-only hotspot,True
houston,48201522402,48.7206253868279,34.128658717243155,-14.591966669584743,False,False,Neither hotspot,False
houston,48201522401,47.00980432969401,34.128658717243155,-12.881145612450858,False,False,Neither hotspot,False
houston,48201552002,50.807701171289615,33.93924337591106,-16.868457795378553,True,False,LST-only hotspot,False
houston,48201511600,48.35027775387825,34.090329583277054,-14.259948170601199,False,False,Neither hotspot,False
houston,48201520100,50.340396946591994,34.19809785111112,-16.142299095480872,True,True,Both LST and HI hotspot,False
houston,48201451902,47.409343341338634,34.18852261525735,-13.220820726081286,False,False,Neither hotspot,False
houston,48201453403,51.51006175379323,34.19907681151132,-17.310984942281912,True,True,Both LST and HI hotspot,False
houston,48201453601,49.5524272859773,34.19907681151132,-15.353350474465984,False,True,HI-only hotspot,True
houston,48201453501,51.249655230351635,34.19907681151132,-17.050578418840317,True,True,Both LST and HI hotspot,False
houston,48201453502,50.15287919204609,34.24176221067266,-15.911116981373432,True,True,Both LST and HI hotspot,False
houston,48201410402,47.72862503925422,34.171944709656074,-13.556680329598144,False,False,Neither hotspot,False
houston,48201431302,51.54751250474334,34.19809785111112,-17.349414653632216,True,True,Both LST and HI hotspot,False
houston,48201452202,49.52499665667342,34.182124562548104,-15.342872094125319,False,False,Neither hotspot,False
houston,48201451700,50.96827307359661,34.20131872067585,-16.766954352920763,True,True,Both LST and HI hotspot,False
houston,48201251000,39.38587848515169,33.87471746147147,-5.5111610236802235,False,False,Neither hotspot,True
houston,48201350300,48.01457206105464,34.184396149132105,-13.830175911922538,False,False,Neither hotspot,False
houston,48201350500,46.228250778496715,34.27744247605594,-11.950808302440777,False,True,HI-only hotspot,True
houston,48201240101,48.43812372817606,34.014314113169966,-14.423809615006093,False,False,Neither hotspot,False
houston,48201333906,50.19607621600464,34.175943089573586,-16.020133126431055,True,False,LST-only hotspot,False
houston,48201423303,52.28243059189312,34.19907681151132,-18.0833537803818,True,True,Both LST and HI hotspot,False
houston,48201541703,38.18026480807089,34.13271682390873,-4.047547984162158,False,False,Neither hotspot,True
houston,48201330902,46.57554296586493,34.18747119679914,-12.388071769065796,False,False,Neither hotspot,True
houston,48201411901,47.23355887902684,34.171944709656074,-13.061614169370763,False,False,Neither hotspot,False
houston,48201330901,48.32912272652699,34.18620924105635,-14.142913485470636,False,False,Neither hotspot,False
houston,48201330102,47.06646872284715,34.189995108284705,-12.876473614562443,False,False,Neither hotspot,False
houston,48201251505,44.124222128197076,33.932678593872126,-10.19154353432495,False,False,Neither hotspot,True
houston,48201540504,51.32889949118106,34.058837858159514,-17.270061633021548,True,False,LST-only hotspot,False
houston,48201421802,47.12837954466583,34.189995108284705,-12.938384436381128,False,False,Neither hotspot,False
houston,48201454504,37.70244643048938,34.19429176251948,-3.5081546679699045,False,False,Neither hotspot,True
houston,48201423304,48.23013318060715,34.19907681151132,-14.031056369095829,False,True,HI-only hotspot,True
houston,48201331603,48.06425739750148,34.18305435169938,-13.881203045802096,False,False,Neither hotspot,False
houston,48201451604,47.69684002858912,34.20131872067585,-13.495521307913272,False,True,HI-only hotspot,True
houston,48201334101,47.79677152161538,34.18674162863533,-13.610029892980052,False,False,Neither hotspot,False
houston,48201241502,46.2012441207397,34.04380208030031,-12.157442040439392,False,False,Neither hotspot,True
houston,48201521401,49.92761776843922,34.075192871938214,-15.852424896501006,True,False,LST-only hotspot,False
houston,48201530101,48.45302225595701,34.06943130034954,-14.383590955607467,False,False,Neither hotspot,False
houston,48201541802,46.790716826298976,34.197571009659114,-12.593145816639861,False,False,Neither hotspot,True
houston,48201522001,49.38695164938328,34.075192871938214,-15.311758777445064,False,False,Neither hotspot,False
houston,48201452701,51.3512115233795,34.32713300899536,-17.024078514384136,True,True,Both LST and HI hotspot,False
houston,48201522102,47.753845579991506,34.075192871938214,-13.678652708053292,False,False,Neither hotspot,False
houston,48201220701,46.268260313504335,34.06312454115072,-12.205135772353614,False,False,Neither hotspot,True
houston,48201430102,43.18762772300675,34.19809785111112,-8.989529871895627,False,True,HI-only hotspot,True
houston,48201320202,44.55034577676998,34.175943089573586,-10.374402687196394,False,False,Neither hotspot,True
houston,48201320201,45.35446419161184,34.178375409874626,-11.176088781737214,False,False,Neither hotspot,True
houston,48201313802,49.838037422574324,34.18305435169938,-15.654983070874941,True,False,LST-only hotspot,False
houston,48201510801,50.58641678869365,34.19809785111112,-16.388318937582525,True,True,Both LST and HI hotspot,False
houston,48201510901,49.643967940249404,34.19809785111112,-15.445870089138282,False,True,HI-only hotspot,True
houston,48201312601,48.08322754335219,34.171944709656074,-13.911282833696113,False,False,Neither hotspot,False
houston,48201421900,47.05355134799719,34.189995108284705,-12.863556239712487,False,False,Neither hotspot,False
houston,48201422100,46.91125159306034,34.189995108284705,-12.721256484775637,False,False,Neither hotspot,True
houston,48201422200,49.12144664436107,34.19544413022067,-14.9260025141404,False,False,Neither hotspot,False
houston,48201530600,47.74173339915599,34.06943130034954,-13.672302098806448,False,False,Neither hotspot,False
houston,48201511004,45.828944331688234,34.19809785111112,-11.630846480577112,False,True,HI-only hotspot,True
houston,48201221302,46.083453890125725,34.06312454115072,-12.020329348975004,False,False,Neither hotspot,True
houston,48201311501,48.29380913319622,34.179591570025146,-14.114217563171074,False,False,Neither hotspot,False
houston,48201311502,47.690653085835216,34.179591570025146,-13.51106151581007,False,False,Neither hotspot,False
houston,48201511502,48.27797642430811,34.06312454115072,-14.214851883157387,False,False,Neither hotspot,False
houston,48201333203,49.77976406181136,34.175943089573586,-15.603820972237777,True,False,LST-only hotspot,False
houston,48201311701,50.02982012899713,34.18305435169938,-15.846765777297747,True,False,LST-only hotspot,False
houston,48201313202,48.971495476002566,34.171944709656074,-14.799550766346492,False,False,Neither hotspot,False
houston,48201313101,49.89364275920308,34.171944709656074,-15.721698049547008,True,False,LST-only hotspot,False
houston,48201312603,49.22445747250799,34.171944709656074,-15.052512762851919,False,False,Neither hotspot,False
houston,48201251504,44.617910744636795,33.932678593872126,-10.68523215076467,False,False,Neither hotspot,True
houston,48201423204,49.47830141684314,34.19907681151132,-15.27922460533182,False,True,HI-only hotspot,True
houston,48201454502,38.316710635155395,34.183682433538294,-4.133028201617101,False,False,Neither hotspot,True
houston,48201413100,48.30610212179291,34.189995108284705,-14.116107013508206,False,False,Neither hotspot,False
