band,PC1,PC2,PC3,PC4,PC5,PC6,PC7
A19,0.014159762748064575,-0.15281700730343378,-0.22377345895473547,0.16610527217403653,0.02024819403444663,-0.02411964505410364,0.014932628543333227
A20,0.17601388869132548,0.0937033234125711,-0.021837925499350215,-0.09875171038012372,0.12015058812597322,0.11193112192157063,0.12228359008712104
A21,0.017766144895366695,-0.10984259975599757,0.2322763026043844,0.046229094795281284,-0.12203149215836558,-0.2626798970103923,0.06322501736143055
A22,0.03952197741002633,-0.19161226920142024,0.03927621252265101,-0.29639653082306544,-0.09298164695433928,0.022847357752231203,-0.041466920076459794
A23,-0.02392619524319974,-0.13687497763067744,-0.055897923678481884,-0.04473566228775372,-0.2540812452034354,-0.13286123807747904,-0.16349184765167374
A24,-0.024802705323152634,-0.13722838118709993,-0.25407446896447317,-0.02866282924306786,0.07328372974573512,-0.06613457616100046,-0.05300811209571061
A25,-0.022438075026205536,-0.2292059913338159,0.0689619163439562,0.22584161234170827,-0.012007188165165583,-0.06699105868361271,-0.028305980728728804
A26,0.14345905908073242,-0.04202666063511049,0.11557737183525349,0.13592065861892139,0.17071095887162785,0.16606580424305745,-0.1469499388950046
A27,0.17509755749108943,0.046362123004826936,-0.11985371366036586,-0.0814749396558856,-0.05642579203111004,0.07693389329179567,0.006208926751223228
A28,-0.02561815155282755,-0.1261565432483641,-0.2618879419394167,-0.05170633697549725,-0.1185666521108443,-0.1496871370447518,0.1891364790904108
A29,-0.1434457880409503,0.09504755773638013,0.1138333075437039,0.10556841340785406,-0.07322717287112435,-0.12437730941513205,0.16434199904557426
A30,0.09539368525569616,0.16038155972451903,0.034968104654929964,-0.12147350813130742,0.09357147922557484,0.01239398296419241,0.3579182477405554
A31,-0.024430922395605268,0.09876737196662741,-0.27260070112011725,-0.10044026533840252,0.05159420644661246,0.16609707879606717,-0.10541814231577683
A32,-0.03214731947677713,0.25876411175567254,0.03419272025780265,-0.14398507578179826,-0.046502146155188204,-0.04462700909445955,0.03945296762172596
A33,-0.07311699872875992,-0.19065427484600644,-0.06166535197146524,-0.047172873627176724,0.2130734120487177,0.11966343730093973,0.14257335684416675
A34,0.1922481075081102,-0.060816810027331414,-0.09073487129859854,0.10176526069785471,0.03634025003300621,-0.07309211722514475,0.014178289743155508
A35,-0.14038042144844246,0.11561723935939554,0.15946368583747464,-0.06728902717649116,0.19191151703881948,-0.08574393685205191,0.06688580795064906
A36,-0.15858830933415444,0.01747162095522649,0.0014044869874202716,-0.016886443164881703,0.08099422940052016,0.08966654391615249,-0.1573505017528202
A37,0.1477297546865203,0.09867633766359411,-0.05414722925598093,-0.19783214630365442,-0.07902906149822339,0.01865017399037377,0.08999979258381721
A38,0.026943056753075425,-0.02117368067133578,-0.23784752591967337,-0.054861188985367064,0.13417112418445803,-0.20411708012449217,-0.21202922757735232
A39,0.12966405172197967,0.10720551360091454,0.10141944592434293,0.09196194317650114,0.04518217427554448,0.1831491981789678,-0.23589454625518202
A40,-0.037118287857037316,0.14789562322285849,0.11696329411920299,0.19254782305374374,0.08504173424793367,0.056684426775506995,-0.1614898381185514
A41,-0.17036057807857008,0.06851010013393068,-0.08068307083280524,0.028858546154567795,0.021823473128079512,0.11161856771201102,0.07216148736909367
A42,-0.07535675193933937,-0.2287034388403287,-0.08241669719302785,0.039234136896769106,-0.033544436923295645,0.07583887935529104,-0.16976270947201422
A43,-0.05960924876474773,-0.20800552867267447,0.03125286962640416,-0.16142596230699674,0.12133410582619071,-0.06557839706073837,0.13786136460504608
A44,0.06803978194670467,-0.1961572992169584,-0.11702078081883345,0.11498627238096053,-0.15643906393421766,0.11521295505590896,0.028032267879050818
A45,-0.044302421913560666,0.017372579989264014,-0.06101686204394967,0.08514544077250531,-0.2540512505663649,0.31061242710298465,0.06563447633286319
A46,-0.13165406986266032,0.04002980812099475,0.21259231374928717,0.09251424752733026,-0.10321055507058251,0.03241605422433413,0.008004572939070595
A47,0.16859154296933443,0.027687737092283737,0.0006883138966578267,-0.12280970423772804,-0.07770468910996574,0.12704929901947568,-0.03778947818636272
A48,0.08239131360457659,-0.09402538687886196,0.06859744389904686,-0.18332390770320528,-0.2872668955966582,-0.01449097076240862,-0.11909975549777252
A49,0.02343082970858017,0.12947125859461975,-0.1283302874052459,0.14490478999639483,-0.20705956665557296,-0.2403270559137563,0.10965479063929895
A50,0.1794601686021968,0.045636417503637464,0.16366349894019258,-0.014963393651394824,0.11349485191010214,-0.05792960453431447,-0.06763970498967273
A51,0.1139663161409115,0.23521669900868827,-0.0039155324617367974,0.012190694658159293,0.005513613361738736,0.11425657188842227,0.008290856791712955
A52,-0.1687637334872871,-0.01293464592440059,-0.14755690567771848,-0.11505634634775827,-0.032936653030174366,-0.05052709877116951,-0.18730055410787716
A53,-0.14188822410345547,-0.16321389245931342,0.07422440243992887,0.012482731879831331,0.013571756295480202,-0.15116534161620965,0.05643884220437205
A54,0.13621900998549394,-0.06714589312085473,-0.06591142508378817,0.1408364938038308,0.06653425506891421,0.24301746069823263,0.0823191774257977
A55,-0.17077938377433807,0.09272565568708709,0.004439936483793411,0.04569136333490728,0.026692565687303445,-0.07734053857178325,-0.17235809407420302
A56,0.19749499714175076,-0.08480443076921285,-0.05805572604781338,-0.012246752400076163,0.03778781333052858,0.024189930643265304,-0.012938591562199626
A57,-0.13393995290367944,-0.0391737239329104,0.0308921803338624,0.050898906643611436,0.26326493688464486,0.22064202901152472,0.0805823356699556
A58,-0.0830988282409152,0.07420526208714445,-0.05755149561098016,-0.017557800678444736,-0.16726372075292273,0.3450197728200688,0.20102998458043891
A59,-0.018858494984378228,0.012627445129011558,-0.09443464644265757,0.31170953369003257,-0.07997351893676106,-0.02199824861978848,0.17975486469809457
A60,0.15872252255120978,-0.1362277309682881,-0.03652675428602595,-0.04498783778345318,0.1881041312831,-0.03111397018838187,0.07167210725598926
A61,0.1167665043249043,-0.16733071147661188,0.15634134419461015,0.06773139517175303,0.09202416471132695,-0.08306614196110941,-0.19915076754336608
A62,-0.17968272897356544,-0.02169619551603769,-0.005665685389434104,-0.1766495339753233,-0.04731036807996134,0.15592116495109562,-0.06813275187763713
A63,0.00430132261198088,0.14079660130493138,-0.06541333221422022,0.019411348150232044,0.3290913803054347,-0.22649343771731226,-0.06840406210427034
