city,raw_dim,best_observable_var_candidate,spearman_r,abs_spearman_r,n
Phoenix,A59,hi_minus_lst,0.6268421444412418,0.6268421444412418,332
Phoenix,A59,median_household_income_clean,0.16449389524501373,0.16449389524501373,368
Phoenix,A59,poverty_rate,-0.1809170816994103,0.1809170816994103,370
Phoenix,A59,ALAND,-0.055945318855412395,0.055945318855412395,373
Phoenix,A59,AWATER,0.08149790435607719,0.08149790435607719,373
Phoenix,A61,lst_c,0.20212520944317594,0.20212520944317594,373
Phoenix,A61,hi_c,-0.30441823110889754,0.30441823110889754,332
Phoenix,A61,hi_minus_lst,-0.2969795406005503,0.2969795406005503,332
Phoenix,A61,median_household_income_clean,0.1593320493933052,0.1593320493933052,368
Phoenix,A61,poverty_rate,-0.1479200981271851,0.1479200981271851,370
Phoenix,A61,ALAND,-0.12303165037291637,0.12303165037291637,373
Phoenix,A61,AWATER,0.03115528624749539,0.03115528624749539,373
Phoenix,A62,lst_c,-0.08022430942139343,0.08022430942139343,373
Phoenix,A62,hi_c,-0.1470441956462502,0.1470441956462502,332
Phoenix,A62,hi_minus_lst,-0.0015766503590913012,0.0015766503590913012,332
Phoenix,A62,median_household_income_clean,0.5355575799426048,0.5355575799426048,368
Phoenix,A62,poverty_rate,-0.4595658310338476,0.4595658310338476,370
Phoenix,A62,ALAND,0.5699619984636594,0.5699619984636594,373
Phoenix,A62,AWATER,0.1843781491056261,0.1843781491056261,373
Phoenix,A63,lst_c,0.11435030877115415,0.11435030877115415,373
Phoenix,A63,hi_c,0.3503348444779397,0.3503348444779397,332
Phoenix,A63,hi_minus_lst,-0.000829315465503723,0.000829315465503723,332
Phoenix,A63,median_household_income_clean,-0.48980407824830585,0.48980407824830585,368
Phoenix,A63,poverty_rate,0.4267555307592123,0.4267555307592123,370
Phoenix,A63,ALAND,-0.1111532219910363,0.1111532219910363,373
Phoenix,A63,AWATER,-0.04979752860239735,0.04979752860239735,373
