GEOID,NAME,total_population,median_household_income,below_poverty_count,poverty_universe,poverty_rate
32003002824,Census Tract 28.24; Clark County; Nevada,1400,88158.0,141,1398,0.10085836909871244
32003002825,Census Tract 28.25; Clark County; Nevada,4090,99096.0,313,4090,0.0765281173594132
32003002826,Census Tract 28.26; Clark County; Nevada,2441,93112.0,122,2441,0.04997951659156084
32003002827,Census Tract 28.27; Clark County; Nevada,2777,71875.0,120,2777,0.04321209938782859
32003002828,Census Tract 28.28; Clark County; Nevada,3311,78750.0,336,3278,0.10250152532031727
32003002829,Census Tract 28.29; Clark County; Nevada,4108,101559.0,352,4105,0.08574908647990256
32003002830,Census Tract 28.30; Clark County; Nevada,5467,66655.0,662,5467,0.1210901774282056
32003002831,Census Tract 28.31; Clark County; Nevada,3946,55288.0,415,3946,0.10516979219462746
32003002833,Census Tract 28.33; Clark County; Nevada,5185,95949.0,492,5185,0.0948891031822565
32003002834,Census Tract 28.34; Clark County; Nevada,5606,79087.0,596,5606,0.10631466286122013
32003002835,Census Tract 28.35; Clark County; Nevada,2398,75938.0,128,2398,0.05337781484570475
32003002836,Census Tract 28.36; Clark County; Nevada,2980,81051.0,143,2972,0.048115746971736206
32003002837,Census Tract 28.37; Clark County; Nevada,6138,111404.0,346,6138,0.056370153144346694
32003002838,Census Tract 28.38; Clark County; Nevada,5814,92796.0,738,5687,0.12976965007912783
32003002841,Census Tract 28.41; Clark County; Nevada,6134,114167.0,226,6123,0.03691001143230443
32003002842,Census Tract 28.42; Clark County; Nevada,7696,101581.0,844,7605,0.11097961867192636
32003002844,Census Tract 28.44; Clark County; Nevada,6012,68152.0,832,6012,0.1383898868928809
32003002845,Census Tract 28.45; Clark County; Nevada,7464,67302.0,1293,7464,0.17323151125401928
32003002846,Census Tract 28.46; Clark County; Nevada,6002,78445.0,545,5993,0.09093942933422326
32003002847,Census Tract 28.47; Clark County; Nevada,3840,46756.0,444,3840,0.115625
32003002848,Census Tract 28.48; Clark County; Nevada,3816,57600.0,750,3808,0.19695378151260504
32003002849,Census Tract 28.49; Clark County; Nevada,3288,66285.0,344,3288,0.10462287104622871
32003002850,Census Tract 28.50; Clark County; Nevada,3506,86321.0,306,3496,0.08752860411899313
32003002851,Census Tract 28.51; Clark County; Nevada,7093,87933.0,789,7061,0.11174054666477835
32003002852,Census Tract 28.52; Clark County; Nevada,1161,105944.0,0,1161,0.0
32003002853,Census Tract 28.53; Clark County; Nevada,3218,84375.0,90,3218,0.027967681789931635
32003002901,Census Tract 29.01; Clark County; Nevada,5450,127917.0,617,5450,0.11321100917431193
32003002902,Census Tract 29.02; Clark County; Nevada,4941,103375.0,279,4748,0.05876158382476832
32003002905,Census Tract 29.05; Clark County; Nevada,4950,67452.0,637,4615,0.13802816901408452
32003002915,Census Tract 29.15; Clark County; Nevada,4315,62018.0,741,4216,0.17575901328273244
32003002916,Census Tract 29.16; Clark County; Nevada,2802,66629.0,499,2802,0.1780870806566738
32003002919,Census Tract 29.19; Clark County; Nevada,4566,63047.0,342,4454,0.07678491243825775
32003002935,Census Tract 29.35; Clark County; Nevada,2081,85580.0,251,2081,0.12061508889956751
32003002936,Census Tract 29.36; Clark County; Nevada,3076,71667.0,342,3075,0.11121951219512195
32003002937,Census Tract 29.37; Clark County; Nevada,5822,54661.0,1791,5822,0.30762624527653726
32003002938,Census Tract 29.38; Clark County; Nevada,1679,55417.0,300,1677,0.17889087656529518
32003002939,Census Tract 29.39; Clark County; Nevada,1970,118974.0,154,1970,0.07817258883248732
32003002940,Census Tract 29.40; Clark County; Nevada,3929,82083.0,272,3929,0.06922881140239247
32003002941,Census Tract 29.41; Clark County; Nevada,5509,70888.0,296,5509,0.05373025957524052
32003002942,Census Tract 29.42; Clark County; Nevada,4501,56752.0,414,4501,0.09197956009775606
32003002944,Census Tract 29.44; Clark County; Nevada,4804,111189.0,408,4761,0.0856962822936358
32003002946,Census Tract 29.46; Clark County; Nevada,1795,46724.0,298,1795,0.166016713091922
32003002947,Census Tract 29.47; Clark County; Nevada,3131,115563.0,230,3131,0.07345895879910572
