GEOID,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,area_km2,GEOIDFQ,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,acs_name,total_population,median_household_income,below_poverty_count,poverty_universe,poverty_rate,city,centroid_lon,centroid_lat,lst_c,air_temp_c,rh_pct,hi_c,hi_minus_lst,has_heat_data,has_alphaearth_embedding,has_pc_scores
32003003260,32,003,003260,32.60,Census Tract 32.60,0.982410666979522,1400000US32003003260,G5020,S,982610,0,+36.1621973,-115.2684786,Census Tract 32.60; Clark County; Nevada,4100,71762.0,689,4100,0.1680487804878049,las_vegas,-115.2684785903727,36.16219733519614,,,,,,False,False,False
32003003261,32,003,003261,32.61,Census Tract 32.61,1.1991975077137262,1400000US32003003261,G5020,S,1199453,0,+36.1632288,-115.2816850,Census Tract 32.61; Clark County; Nevada,2548,62246.0,344,2528,0.1360759493670886,las_vegas,-115.28168493694454,36.163228779448374,,,,,,False,False,False
32003003104,32,003,003104,31.04,Census Tract 31.04,0.7937344172717863,1400000US32003003104,G5020,S,793879,0,+36.1848770,-115.2392120,Census Tract 31.04; Clark County; Nevada,4304,54615.0,819,4304,0.1902881040892193,las_vegas,-115.2392120155885,36.18487698044074,,,,,,False,False,False
32003003228,32,003,003228,32.28,Census Tract 32.28,1.3873563467401608,1400000US32003003228,G5020,S,1387663,0,+36.3005480,-115.2948808,Census Tract 32.28; Clark County; Nevada,6703,67994.0,807,6703,0.1203938534984335,las_vegas,-115.294880754918,36.300547963840685,,,,,,False,False,False
32003003249,32,003,003249,32.49,Census Tract 32.49,1.4666347956361743,1400000US32003003249,G5020,S,1466996,0,+36.1883411,-115.3338293,Census Tract 32.49; Clark County; Nevada,3909,136042.0,308,3909,0.0787925300588385,las_vegas,-115.33382924673079,36.18834109105022,,,,,,False,False,False
32003003251,32,003,003251,32.51,Census Tract 32.51,1.224050350919104,1400000US32003003251,G5020,S,1224340,0,+36.1990287,-115.3165041,Census Tract 32.51; Clark County; Nevada,2389,123640.0,60,2389,0.0251151109250732,las_vegas,-115.31650409326573,36.19902872883588,,,,,,False,False,False
32003003241,32,003,003241,32.41,Census Tract 32.41,1.3856673026908153,1400000US32003003241,G5020,S,1385984,0,+36.2222190,-115.3063769,Census Tract 32.41; Clark County; Nevada,4185,92500.0,372,4155,0.0895306859205776,las_vegas,-115.3063768434112,36.22221899391329,,,,,,False,False,False
32003003244,32,003,003244,32.44,Census Tract 32.44,1.3888495535750092,1400000US32003003244,G5020,S,1389151,0,+36.2223733,-115.2880779,Census Tract 32.44; Clark County; Nevada,3460,87951.0,288,3449,0.0835024644824586,las_vegas,-115.28807786618677,36.222373315566884,,,,,,False,False,False
32003003235,32,003,003235,32.35,Census Tract 32.35,2.2201564407066727,1400000US32003003235,G5020,S,2220627,0,+36.2856635,-115.2806832,Census Tract 32.35; Clark County; Nevada,2391,94167.0,67,2334,0.0287060839760068,las_vegas,-115.28068315612349,36.2856635322873,,,,,,False,False,False
32003003309,32,003,003309,33.09,Census Tract 33.09,3.256822264553127,1400000US32003003309,G5020,S,3257366,0,+36.2853003,-115.2154544,Census Tract 33.09; Clark County; Nevada,4541,107488.0,153,4471,0.0342205323193916,las_vegas,-115.21545438996715,36.28530033175945,,,,,,False,False,False
