GEOID,city,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,ALAND,AWATER,area_km2,total_population_clean,median_household_income_clean,below_poverty_count,poverty_universe,poverty_rate,heat_source_file,notes,lst_c,air_temp_c,rh_pct,hi_c,hi_minus_lst,has_heat_data,heat_merge_status,analysis_ready
32003003416,las_vegas,32,3,3416,34.16,Census Tract 34.16,1209898,0,1.2096825142516965,3244,77604.0,395,3070,0.1286644951140065,,,46.87769197207681,,,,,False,missing,False
32003000109,las_vegas,32,3,109,1.09,Census Tract 1.09,968318,0,0.9681550905130628,3522,55758.0,521,3522,0.1479273140261215,,,48.14391891891896,,,,,False,missing,False
32003005704,las_vegas,32,3,5704,57.04,Census Tract 57.04,880931,0,0.8812449561540986,2263,49185.0,215,2256,0.0953014184397163,,,49.15220410628022,,,,,False,missing,False
32003001614,las_vegas,32,3,1614,16.14,Census Tract 16.14,479790,0,0.479759428920223,2047,31438.0,957,2047,0.4675134342940889,,,48.30933333333336,,,,,False,missing,False
32003000528,las_vegas,32,3,528,5.28,Census Tract 5.28,584406,0,0.5843653552253183,2474,33884.0,842,2459,0.3424156161041073,,,48.92951612903229,,,,,False,missing,False
32003001402,las_vegas,32,3,1402,14.02,Census Tract 14.02,1746750,0,1.7465888562173164,4393,72125.0,672,4393,0.1529706351012975,,,48.24946984758121,,,,,False,missing,False
32003000107,las_vegas,32,3,107,1.07,Census Tract 1.07,1248433,0,1.2482280429266148,3965,49583.0,1040,3965,0.2622950819672131,,,48.180323709536346,,,,,False,missing,False
32003002403,las_vegas,32,3,2403,24.03,Census Tract 24.03,714988,0,0.7149038921259627,3106,36910.0,774,3106,0.2491951062459755,,,46.80333333333336,,,,,False,missing,False
32003002505,las_vegas,32,3,2505,25.05,Census Tract 25.05,676346,0,0.6762800897581334,2359,47424.0,262,2359,0.1110640101738024,,,47.67661564625853,,,,,False,missing,False
32003001708,las_vegas,32,3,1708,17.08,Census Tract 17.08,986613,0,0.986534646080976,3257,71833.0,349,3257,0.1071538225360761,,,47.284510752688206,,,,,False,missing,False
32003003418,las_vegas,32,3,3418,34.18,Census Tract 34.18,1185723,0,1.1854947511640976,3913,46767.0,730,3833,0.1904513435950952,,,45.77485867446397,,,,,False,missing,False
32003002968,las_vegas,32,3,2968,29.68,Census Tract 29.68,625559,0,0.6254530021857738,2548,64271.0,521,2548,0.2044740973312402,,,46.067367601246126,,,,,False,missing,False
32003002969,las_vegas,32,3,2969,29.69,Census Tract 29.69,623891,0,0.6237899804955548,1927,68889.0,459,1927,0.2381940840685002,,,46.1844774774775,,,,,False,missing,False
32003005825,las_vegas,32,3,5825,58.25,Census Tract 58.25,1329332,0,1.3290437013908862,5006,66351.0,873,4914,0.1776556776556776,,,45.24802993527511,,,,,False,missing,False
32003003651,las_vegas,32,3,3651,36.51,Census Tract 36.51,1293115,0,1.2929835766462503,5543,64911.0,705,5543,0.127187443622587,,,47.20324538258579,,,,,False,missing,False
32003005863,las_vegas,32,3,5863,58.63,Census Tract 58.63,682351,0,0.682198370108951,2555,99345.0,151,2555,0.0590998043052837,,,46.0592783505155,,,,,False,missing,False
32003005836,las_vegas,32,3,5836,58.36,Census Tract 58.36,1165419,0,1.1652315265418591,4146,91339.0,147,4131,0.0355846042120551,,,45.767840909090935,,,,,False,missing,False
32003002980,las_vegas,32,3,2980,29.8,Census Tract 29.80,1296310,0,1.2960805708202443,6358,90597.0,695,6358,0.1093111041207927,,,46.04459657701716,,,,,False,missing,False
32003002901,las_vegas,32,3,2901,29.01,Census Tract 29.01,1243733,0,1.2435194628755206,5450,127917.0,617,5450,0.1132110091743119,,,46.42280788177342,,,,,False,missing,False
32003005867,las_vegas,32,3,5867,58.67,Census Tract 58.67,1266729,0,1.2664911745922272,5803,112947.0,239,5766,0.0414498785986819,,,47.114823633156995,,,,,False,missing,False
32003005874,las_vegas,32,3,5874,58.74,Census Tract 58.74,1253180,0,1.252895885364751,4691,84583.0,928,4691,0.1978256235344276,,,45.05578408195432,,,,,False,missing,False
32003007900,las_vegas,32,3,7900,79.0,Census Tract 79,1417921,0,1.417756433205906,3462,51042.0,576,3462,0.1663778162911612,,,47.21659436834097,,,,,False,missing,False
32003005861,las_vegas,32,3,5861,58.61,Census Tract 58.61,346708,0,0.3466585519573088,1713,140531.0,28,1705,0.0164222873900293,,,45.45108695652178,,,,,False,missing,False
32003002404,las_vegas,32,3,2404,24.04,Census Tract 24.04,683025,0,0.6829485037917723,5078,29696.0,1772,5055,0.3505440158259149,,,46.13435724962634,,,,,False,missing,False
32003002940,las_vegas,32,3,2940,29.4,Census Tract 29.40,980994,0,0.9807944816781606,3929,82083.0,272,3929,0.0692288114023924,,,45.43902680652683,,,,,False,missing,False
32003004915,las_vegas,32,3,4915,49.15,Census Tract 49.15,1367666,0,1.367603731966752,3218,72269.0,627,3218,0.194841516469857,,,48.914630102040846,,,,,False,missing,False
