GEOID,city,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,ALAND,AWATER,area_km2,total_population_clean,median_household_income_clean,below_poverty_count,poverty_universe,poverty_rate,heat_source_file,notes,lst_c,air_temp_c,rh_pct,hi_c,hi_minus_lst,has_heat_data,heat_merge_status
32003005719,las_vegas,32,3,5719,57.19,Census Tract 57.19,3029475,0,3.0292086564684575,4780,121962.0,439,4780,0.0918410041841004,,,47.54040048968175,32.34070408033252,17.338595777658483,30.458873194255343,-17.081527295426408,True,ok
32003003648,las_vegas,32,3,3648,36.48,Census Tract 36.48,3956881,0,3.956584879033688,4708,90978.0,408,4708,0.086661002548853,,,48.23962387571549,32.78920633067228,17.095283073660447,30.894111814136732,-17.345512061578756,True,ok
32003005872,las_vegas,32,3,5872,58.72,Census Tract 58.72,335586834,0,335.47889372871396,9261,168951.0,442,9261,0.047727027318864,,,39.91986734312887,26.944221699761734,18.438550448748906,25.433707516954847,-14.486159826174024,True,ok
32003003654,las_vegas,32,3,3654,36.54,Census Tract 36.54,814911,0,0.814807932421931,3580,109811.0,160,3580,0.0446927374301676,,,46.80723404255322,32.588198100656385,17.971032467531902,30.765369059195162,-16.041864983358057,True,ok
32003003652,las_vegas,32,3,3652,36.52,Census Tract 36.52,1330990,0,1.3308519844652356,4968,84798.0,68,4968,0.0136876006441223,,,47.481581300813026,32.588198100656385,17.971032467531902,30.765369059195162,-16.716212241617864,True,ok
32003005859,las_vegas,32,3,5859,58.59,Census Tract 58.59,712991,0,0.7128412403633455,3476,65575.0,326,3446,0.0946024376088218,,,46.06110132158594,32.73324063066096,17.15745094530203,30.816047771731157,-15.24505354985478,True,ok
32003002852,las_vegas,32,3,2852,28.52,Census Tract 28.52,867369,0,0.8672663067960525,1161,105944.0,0,1161,0.0,,,46.710086100861034,32.34070408033252,17.338595777658483,30.458873194255343,-16.25121290660569,True,ok
32003005111,las_vegas,32,3,5111,51.11,Census Tract 51.11,2054557,0,2.054470216116005,6053,68636.0,504,6053,0.0832644969436642,,,48.14909516380657,34.11268558225766,16.50840054616018,32.104452955425614,-16.044642208380957,True,ok
32003005116,las_vegas,32,3,5116,51.16,Census Tract 51.16,1668736,0,1.668684368508059,5262,81667.0,642,5262,0.1220068415051311,,,47.60542884990257,34.11268558225766,16.50840054616018,32.104452955425614,-15.500975894476959,True,ok
32003003646,las_vegas,32,3,3646,36.46,Census Tract 36.46,1415317,0,1.4150943224657715,4749,77642.0,354,4749,0.0745420088439671,,,47.42164781297137,32.65287484431582,18.608806614408458,30.871260300401993,-16.55038751256938,True,ok
32003003655,las_vegas,32,3,3655,36.55,Census Tract 36.55,1724866,0,1.724642552688823,5735,90446.0,488,5735,0.0850915431560592,,,46.75320998796632,32.588198100656385,17.971032467531902,30.765369059195162,-15.98784092877116,True,ok
32003005722,las_vegas,32,3,5722,57.22,Census Tract 57.22,3837739,0,3.8374286735846455,3096,82065.0,170,3096,0.0549095607235142,,,46.010201525054505,32.42808063553826,17.189770316318167,30.53508563943086,-15.475115885623644,True,ok
32003003270,las_vegas,32,3,3270,32.7,Census Tract 32.70,760510,0,0.7603241904410258,3240,69804.0,335,3220,0.1040372670807453,,,44.440973389355776,30.50620134878768,19.1824593293042,28.819043333904688,-15.621930055451088,True,ok
32003003665,las_vegas,32,3,3665,36.65,Census Tract 36.65,1242383,0,1.2421886158205495,4893,87974.0,462,4893,0.0944206008583691,,,46.13714043993234,32.64209538703925,18.502510923262363,30.853611760200852,-15.283528679731486,True,ok
32003003664,las_vegas,32,3,3664,36.64,Census Tract 36.64,1075762,0,1.0755940548402492,3549,76439.0,328,3549,0.0924204001127078,,,46.15149855907786,32.620536472486094,18.28991954097018,30.818314679798576,-15.333183879279282,True,ok
32003005718,las_vegas,32,3,5718,57.18,Census Tract 57.18,1060878,0,1.0607933185945713,1891,102112.0,69,1891,0.0364886303543098,,,46.91748015873019,32.34070408033252,17.338595777658483,30.458873194255343,-16.45860696447485,True,ok
