GEOID,lst_c
32003003316,45.864479606188496
32003003236,46.24606701940039
32003003243,45.92292397660822
32003005614,48.03825447570336
32003006900,47.056748195669655
32003007100,48.449248788368365
32003004602,47.86229381443302
32003005011,48.85537426900589
32003005017,48.64105263157898
32003002965,46.88515267175575
32003002966,47.21975589225591
32003002970,46.58965210355989
32003005844,44.6808461820852
32003005847,45.00157043879911
32003005848,45.45902182091801
32003005353,46.947393617021305
32003002841,46.37804606830821
32003005356,46.56714266117973
32003003422,47.02479576951134
32003002831,46.614734361611006
32003000517,49.2027888153054
32003005803,44.27223891273251
32003003226,44.827604450499564
32003005005,48.66101806239741
32003000513,48.856256767208066
32003005703,47.92306181436811
32003001608,48.34012941176474
32003001609,48.4626031746032
32003003615,47.075592730276774
32003003700,47.93671254874973
32003000700,47.41065310492509
32003003800,48.124974032105776
32003004000,48.04687179487182
32003001610,48.525910326086986
32003004710,48.84785347043705
32003004712,48.04544687642502
32003004713,48.58610073571027
32003004714,48.180657492354776
32003004715,47.501482300884994
32003004716,48.13466785290632
32003004717,48.74050128534707
32003001006,47.87364022662892
32003001100,47.2622723852521
32003001200,47.39227350427353
32003001300,47.763760606060636
32003004100,48.5457211961302
32003004200,48.70730543318652
32003004910,48.52491181657851
32003004911,48.736047619047646
32003004912,49.09314564564567
32003000510,48.19492714025504
32003000103,47.842495682210746
32003005335,48.71639880952384
32003005422,49.8711365807068
32003005423,49.253361297539186
32003005432,48.67060606060608
32003000514,48.64431475029039
32003005804,44.71952380952384
32003000515,49.043974036850955
32003000105,48.344944000000034
32003000516,48.671566499721784
32003005316,47.20349715099719
32003005317,47.22778968253971
32003005313,46.944396946564915
32003005314,46.74550492610841
32003000201,47.62146974063403
32003000203,47.05679691653379
32003000204,47.45528645833336
32003000302,47.96756556986173
32003003219,44.70318761384338
32003004907,48.40704545454549
32003005904,50.08782933252306
32003001715,48.95231277533043
32003001716,48.96840909090912
32003001902,46.597076923076955
32003003242,45.87562253743109
32003003240,45.329224353628035
32003002000,46.825841708542754
32003003239,44.93018105849586
32003003245,46.05105494505497
32003005824,44.84593530239103
32003005852,46.05327466666669
32003003320,46.12325325325329
32003003640,46.91019321766565
32003003641,47.007108020959315
32003003638,46.81954884414618
32003002976,45.571722563375864
32003003254,45.33147222222226
32003003233,46.10641774891779
32003003234,46.14911703239293
32003003428,47.93558451816749
32003003617,47.707073365231295
32003003639,46.80044159544162
32003003636,46.66007374631272
32003003630,46.19532302814113
32003003312,46.84327943078916
32003002977,45.57566252587994
32003002982,46.216496272630486
32003005822,44.789645799011566
32003005841,44.99168269230772
32003005842,45.87090257171121
32003002821,47.827379564879585
32003002506,47.332491496598685
32003001801,48.10231328320806
32003002706,48.004975124378134
32003005421,49.43098621877695
32003005336,49.036205501618156
32003002204,47.84953996983413
32003001611,49.01203340595501
32003005337,46.794005083514904
32003001709,47.35593783494108
32003001803,47.57008928571432
32003005338,46.58958228905599
32003005341,48.113359704641375
32003005342,48.4853036175711
32003005343,48.48548473597362
32003000108,48.17386752136755
32003005834,46.40489662570708
32003005349,46.96088377723973
32003002846,46.94191040843218
32003002844,46.76646113602394
32003005346,46.43183660130722
32003005333,46.79839671886654
32003003262,44.55825940860217
32003001901,47.40355555555559
32003006700,47.03178094591539
32003001714,48.5122168674699
32003002978,46.20576700014503
32003005806,44.58294377510043
32003003610,46.73029550827426
32003000600,47.74463333333336
32003003613,47.0631692677071
32003006202,48.47106018518521
32003005503,47.66059193121697
32003005828,46.59207686180808
32003004401,48.108864864864884
32003002985,46.34354389272995
32003002845,46.67616613418533
32003001706,46.8720355191257
32003001707,46.93365248226953
32003003229,46.15066783035948
32003002847,46.78520858979624
32003002837,46.70972072557473
32003002967,46.56327808471458
32003003215,45.047319665907395
32003003303,46.42300251256284
32003000519,49.024038961039
32003000101,47.63978189300414
32003004703,47.92804104477616
32003001003,47.47357407407411
32003001004,48.07126636737751
32003006203,47.78947257383969
32003002979,46.22544878048784
32003003429,47.81977289377292
32003002707,47.344902699309515
32003005903,49.921100546128365
32003005016,48.0488056412517
32003002604,46.58640065146584
32003003218,44.34339889850516
32003005504,46.79277474195511
32003005347,46.17470743743394
32003005348,46.23713182117031
32003005711,48.864496276731096
32003005855,46.085956749672384
32003005856,46.20705498866217
32003007200,45.61481064665954
32003003317,46.142727272727306
32003000526,48.599117647058854
32003005355,46.61852607709755
32003002303,47.10644000000002
32003005715,45.44454449376456
32003005846,45.21722018123931
32003005839,45.2218728820564
32003007600,47.55153745503106
32003006800,46.33382088024567
32003007500,39.921070312183915
32003005705,49.2766361960145
32003005843,44.24869797041627
32003003307,45.881063084112185
32003003634,46.58754552652418
32003003635,46.59969727891159
32003003644,47.267202227934916
32003003642,47.460837264150975
32003004926,47.9980740740741
32003006104,47.322562918729986
32003003314,47.11737623107942
32003003620,46.423487903225826
32003003632,46.54979967948721
32003005612,49.05007148692813
32003002811,46.96564564564568
32003002828,46.50247863247865
32003003315,46.0404179728318
32003001712,47.97740318118951
32003003626,47.31345841519322
32003005437,48.253357238158806
32003000518,48.60381619937696
32003001005,47.81618500000004
32003001607,48.18080261136716
32003005813,45.79090381426206
32003006103,47.385635658914765
32003006201,48.32371321914804
32003002937,47.28733076263928
32003002938,47.08036656118147
32003002808,46.90449285384973
32003002810,46.40539662447261
32003003419,47.03847307430132
32003003420,47.98704579579582
32003003421,46.180552699228826
32003003227,44.51136800000003
32003003306,46.34903951486701
32003003408,46.033301587301615
32003003409,46.20556368068255
32003003412,46.718915431081854
32003003413,47.2237545126354
32003003414,47.33543936446175
32003003415,46.13100026709405
32003005875,44.79638759689926
32003005115,47.03888420460935
32003005870,46.55587087087089
32003005873,45.60764608233735
32003002814,47.05672104018915
32003005805,44.89272001823988
32003002823,48.00803403755871
32003003609,46.85727073365235
