GEOID,air_temp_c,rh_pct,hi_c
32003002937,32.540011287080745,17.775461181011654,30.68612509371
32003002938,32.540011287080745,17.775461181011654,30.68612509371
32003002939,32.540011287080745,17.775461181011654,30.68612509371
32003002940,,,
32003002941,32.540011287080745,17.775461181011654,30.68612509371
32003002942,32.540011287080745,17.775461181011654,30.68612509371
32003002944,32.540011287080745,17.775461181011654,30.68612509371
32003002946,32.540011287080745,17.775461181011654,30.68612509371
32003002947,32.540011287080745,17.775461181011654,30.68612509371
32003002948,32.540011287080745,17.775461181011654,30.68612509371
32003002949,32.540011287080745,17.775461181011654,30.68612509371
32003002950,,,
32003002952,32.540011287080745,17.775461181011654,30.68612509371
32003002953,32.540011287080745,17.775461181011654,30.68612509371
32003002954,32.540011287080745,17.775461181011654,30.68612509371
32003002956,33.30241402888626,17.27052660062464,31.392363162761036
32003002957,32.73324063066096,17.15745094530203,30.816047771731157
32003002958,32.73324063066096,17.15745094530203,30.816047771731157
32003002961,32.73324063066096,17.15745094530203,30.816047771731157
32003002962,33.35030254598587,17.024932207901305,31.407618790553215
32003002964,,,
32003002965,32.540011287080745,17.775461181011654,30.68612509371
32003002966,,,
32003002967,32.73324063066096,17.15745094530203,30.816047771731157
32003002968,,,
32003002969,,,
32003002970,32.73324063066096,17.15745094530203,30.816047771731157
32003002974,32.73324063066096,17.15745094530203,30.816047771731157
32003002975,32.73324063066096,17.15745094530203,30.816047771731157
32003002976,32.73324063066096,17.15745094530203,30.816047771731157
32003002977,32.73324063066096,17.15745094530203,30.816047771731157
32003002978,32.73324063066096,17.15745094530203,30.816047771731157
32003002979,32.73324063066096,17.15745094530203,30.816047771731157
32003002980,,,
32003002981,32.73324063066096,17.15745094530203,30.816047771731157
32003002982,32.73324063066096,17.15745094530203,30.816047771731157
32003002983,32.73324063066096,17.15745094530203,30.816047771731157
32003002985,33.634475796464436,16.963903841993076,31.680052812379163
32003002995,33.556548276154764,17.102215073828965,31.627775852444717
32003002996,33.556548276154764,17.102215073828965,31.627775852444717
32003002997,32.540011287080745,17.775461181011654,30.68612509371
32003002998,32.540011287080745,17.775461181011654,30.68612509371
32003003001,32.540011287080745,17.775461181011654,30.68612509371
32003003003,32.540011287080745,17.775461181011654,30.68612509371
32003003004,,,
32003003005,32.540011287080745,17.775461181011654,30.68612509371
32003003006,,,
32003003102,,,
32003003103,32.540011287080745,17.775461181011654,30.68612509371
32003003104,32.540011287080745,17.775461181011654,30.68612509371
32003003204,32.66904403023068,18.768250151127596,30.8977331107037
32003003208,32.66904403023068,18.768250151127596,30.8977331107037
32003003210,30.50620134878768,19.1824593293042,28.819043333904688
32003003211,,,
32003003213,30.50620134878768,19.1824593293042,28.819043333904688
32003003214,32.66904403023068,18.768250151127596,30.8977331107037
32003003215,,,
32003003218,32.540011287080745,17.775461181011654,30.68612509371
32003003219,32.540011287080745,17.775461181011654,30.68612509371
32003003220,32.540011287080745,17.775461181011654,30.68612509371
32003003222,30.223245018115065,18.047034424237182,28.484741921582422
32003003223,30.918274898804768,17.965562451269523,29.145156873220696
32003003226,30.6865982719082,17.99271977559208,28.925018556007938
32003003227,30.223245018115065,18.047034424237182,28.484741921582422
32003003228,31.341727524908794,19.238969995708572,29.637118028827103
32003003229,31.549442545572344,19.880133534995316,29.88036829156433
32003003233,31.338063918573447,19.023148106928588,29.618539401904307
32003003234,32.66904403023068,18.768250151127596,30.8977331107037
32003003235,32.66904403023068,18.768250151127596,30.8977331107037
32003003236,32.66904403023068,18.768250151127596,30.8977331107037
32003003237,30.50620134878768,19.1824593293042,28.819043333904688
32003003239,30.50620134878768,19.1824593293042,28.819043333904688
32003003240,30.899445472686402,19.107148569635726,29.196986929686325
32003003241,30.86667512902818,19.113424466274765,29.165491630037852
32003003242,32.66904403023068,18.768250151127596,30.8977331107037
32003003243,32.66904403023068,18.768250151127596,30.8977331107037
