ALAND,AWATER,COUNTYFP,FUNCSTAT,GEOID,GEOIDFQ,INTPTLAT,INTPTLON,MTFCC,NAME,NAMELSAD,STATEFP,TRACTCE,centroid_in_city,city,city_context,city_label,hi_c,intersects_city,lst_c,state_fips,state_name,analysis_ready,lst_pct,hi_pct,hi_minus_lst_pct,lst_hot,hi_hot,mismatch_class,priority_flag,q75_lst_c,q75_hi_c,q75_hi_minus_lst_pct
309420,0,075,S,06075031202,1400000US06075031202,+37.7193286,-122.4523956,G5020,312.02,Census Tract 312.02,06,031202,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,15.636442977794673,True,27.646340548340582,06,California,True,0.35106382978723405,0.09840425531914894,-0.2526595744680851,False,False,Neither hotspot,False,29.713333333333367,16.363990885969546,0.16888297872340421
472116,0,075,S,06075032602,1400000US06075032602,+37.7588987,-122.4825797,G5020,326.02,Census Tract 326.02,06,032602,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,,True,25.816692456479736,06,California,False,,,,False,False,Missing,False,29.713333333333367,16.363990885969546,0.16888297872340421
585365,0,075,S,06075032801,1400000US06075032801,+37.7460190,-122.4804356,G5020,328.01,Census Tract 328.01,06,032801,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,15.636442977794673,True,25.986145833333346,06,California,True,0.1595744680851064,0.09840425531914894,-0.06117021276595745,False,False,Neither hotspot,False,29.713333333333367,16.363990885969546,0.16888297872340421
548900,97204,075,S,06075032802,1400000US06075032802,+37.7530955,-122.4812305,G5020,328.02,Census Tract 328.02,06,032802,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,,True,26.468181818181847,06,California,False,,,,False,False,Missing,False,29.713333333333367,16.363990885969546,0.16888297872340421
671900,0,075,S,06075032901,1400000US06075032901,+37.7461540,-122.4901873,G5020,329.01,Census Tract 329.01,06,032901,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,15.636442977794673,True,25.19815454545459,06,California,True,0.1276595744680851,0.09840425531914894,-0.029255319148936157,False,False,Neither hotspot,False,29.713333333333367,16.363990885969546,0.16888297872340421
436409,0,075,S,06075033203,1400000US06075033203,+37.7159219,-122.4782648,G5020,332.03,Census Tract 332.03,06,033203,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,15.636442977794673,True,24.80760154738882,06,California,True,0.11170212765957446,0.09840425531914894,-0.013297872340425523,False,False,Neither hotspot,False,29.713333333333367,16.363990885969546,0.16888297872340421
387903,0,075,S,06075033204,1400000US06075033204,+37.7196514,-122.4803901,G5020,332.04,Census Tract 332.04,06,033204,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,15.636442977794673,True,24.20350439882702,06,California,True,0.0797872340425532,0.09840425531914894,0.018617021276595744,False,False,Neither hotspot,False,29.713333333333367,16.363990885969546,0.16888297872340421
293133,0,075,S,06075042601,1400000US06075042601,+37.7831223,-122.4811910,G5020,426.01,Census Tract 426.01,06,042601,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,,True,23.455281385281435,06,California,False,,,,False,False,Missing,False,29.713333333333367,16.363990885969546,0.16888297872340421
332057,0,075,S,06075042602,1400000US06075042602,+37.7833847,-122.4754789,G5020,426.02,Census Tract 426.02,06,042602,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,,True,23.585230812800937,06,California,False,,,,False,False,Missing,False,29.713333333333367,16.363990885969546,0.16888297872340421
476606,0,075,S,06075047801,1400000US06075047801,+37.7758427,-122.4921123,G5020,478.01,Census Tract 478.01,06,047801,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,,True,22.976361111111125,06,California,False,,,,False,False,Missing,False,29.713333333333367,16.363990885969546,0.16888297872340421
