column,dtype,non_null_count,missing_count,example_values,is_alphaearth_A00_A63
A16,float64,6270,0,0.1962507784089486; 0.118194333014087; 0.1124937965618229; 0.1222668312940185; 0.1227627730888955,True
A17,float64,6270,0,0.0953066620545974; 0.0753127305375242; 0.1013304747973291; 0.0923739421736499; 0.0934432591516296,True
A18,float64,6270,0,0.1780361391278546; 0.1966055489553001; 0.2213333067879563; 0.2219895227187675; 0.2205090795619665,True
A19,float64,6270,0,-0.0430926532792046; -0.0185529553995932; -0.0329884148915013; -0.0170858759367182; -0.0262437911097615,True
A20,float64,6270,0,-0.0231006399017332; -0.0262471559096875; -0.0101861149297159; -0.0174681539769962; -0.0077196347237004,True
A21,float64,6270,0,-0.0787514517439682; -0.0935381654379758; -0.1217828040008808; -0.116698726117419; -0.1207634781746297,True
A22,float64,6270,0,-0.1618899432852492; -0.1790179543971941; -0.1098548142349545; -0.1344365088642308; -0.1561360254482521,True
A23,float64,6270,0,-0.1098494858372556; -0.1532793493592986; -0.1389854365623778; -0.1431414932563587; -0.1380019781962336,True
A24,float64,6270,0,-0.1399674910731184; -0.1675191731159752; -0.1388770166842219; -0.1379408736277678; -0.1448060519474191,True
A25,float64,6270,0,0.1829135810575995; 0.1945366998714443; 0.2361041136273509; 0.2304120181395478; 0.1893982712737697,True
A26,float64,6270,0,-0.1004789699285573; -0.0676858045386048; -0.0821988653137035; -0.0757097214437688; -0.0941522372913781,True
A27,float64,6270,0,0.0279422921208524; -0.0403765096360201; -0.0441410188260406; -0.0395757948025836; -0.0543404676138149,True
A28,float64,6270,0,0.1083213980424222; 0.1141288521559545; 0.1106155397201246; 0.1026076397981497; 0.1132956952160192,True
A29,float64,6270,0,0.0968243280011019; 0.1232277161922795; 0.1189622078378696; 0.1248184695820692; 0.1262193979786475,True
A30,float64,6270,0,0.0621748524944483; 0.0678264556182466; 0.0337583534261734; 0.0299935176364313; 0.0621641718854051,True
A31,float64,6270,0,-0.1290490906482395; -0.1412366163860206; -0.132774096677094; -0.1417433615079393; -0.113048655990904,True
A32,float64,6270,0,0.0038976212398952; -0.0088066396191737; -0.0438591275868407; -0.0407864608692573; -0.018960752667737,True
A33,float64,6270,0,-0.2048903918432121; -0.1769711655923025; -0.1713970442765271; -0.1615940578469273; -0.1662477913132484,True
A34,float64,6270,0,0.0970670690663072; 0.0583176984909861; 0.1117227107810034; 0.0950632824458711; 0.0520636081932018,True
A35,float64,6270,0,0.0133265424817574; 0.0943050850426028; 0.0662181642101919; 0.0765127591863016; 0.0734723752631934,True
A36,float64,6270,0,-0.172661731194111; -0.1383032307887525; -0.1161619380414855; -0.110732010085491; -0.1233367806096715,True
A37,float64,6270,0,-0.0222658950514111; -0.0192821108828879; -0.0573447955790452; -0.049130962237352; -0.022696100972158,True
A38,float64,6270,0,-0.2221165372585166; -0.2591636676550715; -0.2685285135711664; -0.2679901997279829; -0.2772309592806187,True
A39,float64,6270,0,0.0076659849446; -0.0091581390459956; -0.0046439204256032; -0.0027325736799123; 0.0029861987678506,True
A40,float64,6270,0,-0.0086485647003745; 0.0242499266912103; -7.601066215122706e-05; 0.009907131351545; 0.054059274149698,True
A41,float64,6270,0,-0.1428360930409365; -0.1323717823354183; -0.1488437640165598; -0.137701452959001; -0.1336636540804618,True
A42,float64,6270,0,0.0327384953261417; 0.0625761250818596; 0.0720129337861952; 0.0759208556509575; 0.0602799029304977,True
A43,float64,6270,0,-0.0447788867862062; -0.065185385796662; -0.0645736111275113; -0.0459341965468467; -0.0734884491727067,True
A44,float64,6270,0,0.141991167911461; 0.1165601049156136; 0.1162310211316435; 0.1183411278784; 0.1129632093481297,True
A45,float64,6270,0,0.1571909129712097; 0.1522036010954223; 0.1743837355464076; 0.160885103022445; 0.1673806167362458,True
A46,float64,6270,0,-0.0781548630869441; -0.0417492957082921; -0.0616258088996762; -0.0596331792334341; -0.0350218117914707,True
A47,float64,6270,0,0.093159154237012; 0.1070244665771035; 0.1155052508749634; 0.1150770213400075; 0.1061864698249557,True
A48,float64,6270,0,0.0911472607119061; 0.0495740120555667; 0.0779218437466344; 0.0660451390466287; 0.0422119713483319,True
A49,float64,6270,0,0.0055041334762896; -0.0224901052454353; -0.0493586807509052; -0.0452076509936156; -0.0321033948975053,True
A50,float64,6270,0,-0.0200326198469642; -0.0148308765229057; -0.0293625172220302; -0.0299909427473838; -0.0450516182638199,True
A51,float64,6270,0,0.0900572764375908; 0.0363765241719276; 0.0163366516274749; 0.0118820493249763; 0.0378138292619647,True
A52,float64,6270,0,-0.1261524699377588; -0.1100300000765565; -0.1067318097300913; -0.1040135008355618; -0.0870202275606818,True
A53,float64,6270,0,-0.0588424187548585; -0.0718536356124483; -0.0157718902119428; -0.0394360197082905; -0.0671071808302027,True
A54,float64,6270,0,0.1293869448254171; 0.1149887547249237; 0.118922316764962; 0.1202299443307211; 0.118511851335701,True
A55,float64,6270,0,-0.0246437241674238; 0.0355720658856235; -0.0044555239703223; 0.0152571989636843; 0.0398680789875318,True
A56,float64,6270,0,0.0455308264597458; -0.0012680269956897; 0.0143832396128728; 0.0154301997513408; -0.0032040570453768,True
A57,float64,6270,0,-0.0172760745792043; -0.0029967655290177; -0.0154971489991765; -0.0059528865582751; -0.0229599788797036,True
A58,float64,6270,0,0.012310252584428; -0.0180860349608696; -0.0579802019115133; -0.0472100817448211; -0.0145845732886314,True
A59,float64,6270,0,-0.1382319670028702; -0.0972004618455097; -0.0923989788011527; -0.0933527713632874; -0.1019963619427812,True
A60,float64,6270,0,0.1003983181932834; 0.1044635438754863; 0.1300254653836309; 0.1290399111413199; 0.1005089586364137,True
A61,float64,6270,0,-0.0267153361605575; -0.0249489861821249; -0.0061570404473738; -0.0084159574558223; -0.0293373506295699,True
A62,float64,6270,0,-0.2455723546586283; -0.2036645017164237; -0.1822023076683163; -0.191671574048391; -0.1688945061195149,True
A63,float64,6270,0,0.0715581609756069; 0.0959910279855435; 0.0622819885290593; 0.0811579304630753; 0.0685117183515625,True
STATEFP,float64,5812,458,6.0; 12.0; 25.0; 13.0; 53.0,False
COUNTYFP,float64,5812,458,37.0; 86.0; 25.0; 75.0; 41.0,False
TRACTCE,float64,5812,458,204920.0; 205110.0; 205120.0; 206010.0; 206020.0,False
GEOIDFQ,object,5812,458,1400000US06037204920; 1400000US06037205110; 1400000US06037205120; 1400000US06037206010; 1400000US06037206020,False
NAME,float64,5812,458,2049.2; 2051.1; 2051.2; 2060.1; 2060.2,False
NAMELSAD,object,5812,458,Census Tract 2049.20; Census Tract 2051.10; Census Tract 2051.20; Census Tract 2060.10; Census Tract 2060.20,False
MTFCC,object,5812,458,G5020,False
FUNCSTAT,object,5812,458,S,False
ALAND,float64,5812,458,909972.0; 286962.0; 1466242.0; 1418137.0; 843243.0,False
AWATER,float64,5812,458,0.0; 20551.0; 30290.0; 141255.0; 2486.0,False
INTPTLAT,float64,5812,458,34.0175004; 34.0245059; 34.0187542; 34.0682177; 34.057123,False
INTPTLON,float64,5812,458,-118.1974975; -118.2142985; -118.2117951; -118.2320356; -118.2311021,False
city_name,object,1444,4826,Los Angeles; Miami; Boston,False
NAME_acs,float64,0,6270,,False
population,float64,0,6270,,False
poverty_universe,float64,0,6270,,False
poverty_below,float64,0,6270,,False
poverty_rate,float64,0,6270,,False
acs_year,float64,0,6270,,False
state,float64,0,6270,,False
county,float64,0,6270,,False
tract,float64,0,6270,,False
tract_area_km2,float64,1444,4826,0.9095216419332146; 0.2868201284321896; 1.465519779546506; 1.4379980638742285; 0.8731159792278862,False
air_temp_c,float64,1400,4870,22.416491735154352; 22.835774952432416; 22.600316357267104; 22.61379805025848; 22.262046252817356,False
rh_pct,float64,1400,4870,61.01142526452512; 55.77099040687782; 55.76673160950213; 53.20122812690523; 58.85546862513549,False
analysis_ready,object,5812,458,True; False,False
lst_summer_mean_c,float64,1440,4830,43.08022538552791; 42.82480392156865; 43.220317982456166; 39.343811693242245; 40.00591575091578,False
hi_summer_mean_c,float64,1400,4870,22.416491735154356; 22.835774952432423; 22.60031635726711; 22.613798050258485; 22.262046252817353,False
centroid_in_city,object,4368,1902,True; False,False
city_context,object,4368,1902,Coastal / compact / bay-influenced; Inland / humid / sprawling Sun Belt; Coastal / Pacific Northwest / water-constrained; Great Lakes / large grid city; Inland / large Sun Belt / car-oriented,False
intersects_city,object,4368,1902,True,False
state_fips,float64,4368,1902,6.0; 13.0; 53.0; 17.0; 48.0,False
state_name,object,4368,1902,California; Georgia; Washington; Illinois; Texas,False
lst_pct,float64,4008,2262,0.5531914893617021; 0.0638297872340425; 0.1436170212765957; 0.6117021276595744; 0.3829787234042553,False
hi_pct,float64,4008,2262,0.5877659574468085; 0.0053191489361702; 0.9787234042553192; 0.0984042553191489; 0.1914893617021276,False
hi_minus_lst_pct,float64,4008,2262,0.0345744680851063; -0.0585106382978723; 0.8351063829787233; -0.5132978723404255; -0.2845744680851064,False
lst_hot,object,4368,1902,False; True,False
hi_hot,object,4368,1902,True; False,False
q75_lst_c,float64,4368,1902,29.713333333333367; 34.39689905366018; 29.788480731225317; 34.83932926087561; 40.462154686398904,False
q75_hi_c,float64,4368,1902,16.363990885969546; 25.57905931610986; 19.2244379817576; 21.49247254357824; 33.21039030375678,False
q75_hi_minus_lst_pct,float64,4368,1902,0.1688829787234042; 0.2959641255605381; 0.3603723404255319; 0.125; 0.2516703786191537,False
