score,rows,cols,path,layer,row_filtered,n_lst_cols,n_hi_cols,n_hot_cols,n_demo_cols,lst_cols_preview,hi_cols_preview,hot_cols_preview
56,13333,6,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_frontier_figures/mismatch_frontier_lines_all_cities.geojson,,True,0,0,2,0,,,"class_i, class_j"
-85,1,5,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_centroid_displacement_GIS_READY.gpkg,shift_lines,True,0,0,0,0,,,
-85,1,5,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_shift_deeper_GIS_READY.gpkg,shift_lines,True,0,0,0,0,,,
-87,2,3,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_shift_deeper_GIS_READY.gpkg,centroid_points,True,0,0,0,0,,,
-87,2,3,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_centroid_displacement_GIS_READY.gpkg,centroid_points,True,0,0,0,0,,,
-87,1,3,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_shift_deeper_GIS_READY.gpkg,shift_corridors,True,0,0,0,0,,,
-145,1,5,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_centroid_shift_lines.geojson,,True,0,0,0,0,,,
-145,1,5,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_centroid_shift_lines_BOLD.geojson,,True,0,0,0,0,,,
-147,2,3,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_centroid_points.geojson,,True,0,0,0,0,,,
-147,2,3,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_centroid_points_BOLD.geojson,,True,0,0,0,0,,,
-147,1,3,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_shift_corridors.geojson,,True,0,0,0,0,,,
-195,535,15,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/las_vegas/las_vegas_tracts_projected.gpkg,las_vegas_tracts_projected,False,0,0,0,0,,,
-195,779,15,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/las_vegas/las_vegas_tracts_clean_statewide_backup.geojson,,False,0,0,0,0,,,
-195,535,15,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/share_for_chenchen_factor_analysis_12cities/01_spatial_gpkg/las_vegas__las_vegas_tracts_projected.gpkg,las_vegas_tracts_projected,False,0,0,0,0,,,
-195,535,15,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/share_for_chenchen_factor_analysis_12cities_FIXED/01_spatial_gpkg_or_vector/las_vegas__las_vegas_tracts_projected.gpkg,las_vegas_tracts_projected,False,0,0,0,0,,,
-195,535,15,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/las_vegas/las_vegas_tracts_clean.geojson,,False,0,0,0,0,,,
-196,779,14,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/raw/tract_2025/tl_2025_32_tract.shp,,False,0,0,0,0,,,
-445,779,15,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/las_vegas/las_vegas_tracts_projected_statewide_backup.gpkg,las_vegas_tracts_projected_statewide_backup,False,0,0,0,0,,,
