column,dtype,non_null_count,missing_count,mean,std,min,median,max,is_alphaearth_A00_A63
A22,float64,6270,0,-0.11477606609839346,0.04079008221447773,-0.2310560285250669,-0.11630323503308715,0.0680563344902043,True
A23,float64,6270,0,-0.008521072001252262,0.062429468165322875,-0.1787369246662789,-0.01067485090004115,0.2501958105047684,True
A24,float64,6270,0,-0.038700512214142675,0.06319820514776765,-0.2115968905349281,-0.040614627669441405,0.2014820696326239,True
A25,float64,6270,0,0.22323475647132382,0.0677087146032085,-0.1694116263173486,0.2341986252915678,0.3584361073841066,True
A26,float64,6270,0,-0.009077307851375189,0.050649633776601324,-0.1996314318031833,0.001271089764486,0.1744314272132681,True
A27,float64,6270,0,0.011304497840719008,0.06905313704141493,-0.3261583722984886,0.01468510255644645,0.1844385292337201,True
A28,float64,6270,0,0.08185510124429661,0.05076837625092328,-0.1028110366204313,0.08419547048390724,0.2146016930667979,True
A29,float64,6270,0,0.02646649844166632,0.055565007522933224,-0.1532479699786178,0.014664712279463699,0.1908197656125053,True
A30,float64,6270,0,0.008703252141517272,0.05434156380744262,-0.2107682753491871,0.01062605684077305,0.1916298284519067,True
A31,float64,6270,0,-0.059795114205476195,0.06665401528577135,-0.1895110934684103,-0.061784771306702096,0.3569785820287269,True
A32,float64,6270,0,-0.030560335765369692,0.05042360358716078,-0.2036638520283703,-0.0312965577187949,0.1935753518608623,True
A33,float64,6270,0,-0.09301553966756322,0.06708052934992254,-0.2548431906846207,-0.09253860236469046,0.2420542481822304,True
A34,float64,6270,0,0.08186354627260203,0.05753106928854724,-0.1862771977138834,0.09523878786248455,0.202684737563006,True
A35,float64,6270,0,-0.08243606378759298,0.08061602337590291,-0.2281816037545,-0.09421365563506025,0.1564284517332878,True
A36,float64,6270,0,-0.16208356330802706,0.07693336162925869,-0.3538072740736882,-0.17234562845371781,0.1881112728111711,True
A37,float64,6270,0,-0.06230908602988276,0.058668244033489546,-0.2401242835816436,-0.0614539001683707,0.1499356632036824,True
A38,float64,6270,0,-0.035059157241567634,0.10684469745560518,-0.340742498215648,0.0181684810720475,0.1474093598817765,True
A39,float64,6270,0,0.021062652224384904,0.06525977398304449,-0.2113770755503067,0.023258977734410498,0.211896649317401,True
A40,float64,6270,0,-0.09705901180720924,0.07778074501913752,-0.2849472324093823,-0.1152530222385087,0.1957364021554968,True
A41,float64,6270,0,-0.12573416240971907,0.07144242657247084,-0.3017453201903707,-0.1047646713247076,0.1223297219985482,True
A42,float64,6270,0,0.07273175349296306,0.05445281513923134,-0.0730373945256055,0.0705831510351054,0.2568144865226687,True
A43,float64,6270,0,-0.0021438668294939014,0.05161124260694035,-0.211853862989198,0.00588940290640445,0.1698520450508601,True
A44,float64,6270,0,0.141597685654419,0.04593817126694879,-0.1394551773851892,0.1475531453778778,0.2527451955531298,True
A45,float64,6270,0,0.1285595380475057,0.03672972021988014,-0.0162790345598584,0.12233413351108365,0.2652468905396287,True
A46,float64,6270,0,-0.0376687003478563,0.04651340006211986,-0.2296618681101039,-0.03364748347361045,0.1894987766123574,True
A47,float64,6270,0,0.0411653397415744,0.04436542841624307,-0.1426991517446889,0.0437526157945548,0.191919222950623,True
A48,float64,6270,0,0.1629216990626156,0.08325460121901664,-0.1681471914039877,0.18738088548317233,0.3153626566155327,True
A49,float64,6270,0,-0.055867060951347386,0.06477355531566917,-0.2395938981032369,-0.05566167951354195,0.10250808542697,True
A50,float64,6270,0,-0.04812638782481074,0.039899340538280564,-0.2496703035789911,-0.04249600952673965,0.0797673316821911,True
A51,float64,6270,0,0.07604695771175196,0.05793141773753029,-0.1314655842527429,0.07244031392035205,0.2655404764805009,True
A52,float64,6270,0,-0.15230971461976486,0.06237268554659922,-0.3223785788124725,-0.15247255193565365,0.1629642897462606,True
A53,float64,6270,0,0.04378610867700643,0.05861623979330928,-0.1728305681717314,0.036222875333128804,0.2588241098058449,True
A54,float64,6270,0,0.14544600995761633,0.08693626906853093,-0.1280536418604608,0.18966361557619854,0.2717964416769887,True
A55,float64,6270,0,-0.1471247315263049,0.08989019691193892,-0.3886695592119029,-0.1382846797701734,0.1867961258275007,True
A56,float64,6270,0,0.11308894303793866,0.061852772196519586,-0.135306914982461,0.12274554934887655,0.2569776170128728,True
A57,float64,6270,0,0.0410105317030201,0.06611930864726351,-0.1505988889227676,0.06078079807875815,0.2343502391507179,True
A58,float64,6270,0,0.034290138994794675,0.07167453800896396,-0.1608983840141889,0.05383589234050195,0.2192958877288737,True
A59,float64,6270,0,-0.02903761238619653,0.04898716832037035,-0.1610986705605058,-0.030255965253769203,0.1713233797174696,True
A60,float64,6270,0,0.08266243679906021,0.06052764956218844,-0.1191527943610304,0.0771753336596467,0.260496595776203,True
A61,float64,6270,0,-0.041293120408467394,0.05717170908094597,-0.2670610579856671,-0.034443007933123396,0.105631895070184,True
A62,float64,6270,0,-0.15798112876087356,0.07062292605274484,-0.3002626494092677,-0.17030456372186342,0.2365810690809157,True
A63,float64,6270,0,0.044452340972945974,0.054017312861541836,-0.143754217662077,0.043007732706958346,0.3439608246756435,True
STATEFP,float64,5812,458,25.790261527873366,14.839480291542904,6.0,36.0,53.0,False
COUNTYFP,float64,5812,458,54.91999311768754,32.86365663118693,1.0,47.0,397.0,False
TRACTCE,float64,5812,458,134933.5,205913.39690190335,100.0,47902.5,990400.0,False
NAME,float64,5812,458,1349.335,2059.1339690190334,1.0,479.025,9904.0,False
ALAND,float64,5812,458,1020902.8492773572,3363666.1178741823,0.0,398136.0,133782126.0,False
AWATER,float64,5812,458,930919.8592567103,26680839.982796565,0.0,0.0,1717072182.0,False
INTPTLAT,float64,5812,458,38.57919367802821,4.212052675724153,25.7167841,40.6701325,47.7432786,False
INTPTLON,float64,5812,458,-90.49123122615278,19.021475870967876,-123.0361398,-84.49286735,-70.9390337,False
NAME_acs,float64,0,6270,,,,,,False
population,float64,0,6270,,,,,,False
poverty_universe,float64,0,6270,,,,,,False
poverty_below,float64,0,6270,,,,,,False
poverty_rate,float64,0,6270,,,,,,False
acs_year,float64,0,6270,,,,,,False
state,float64,0,6270,,,,,,False
county,float64,0,6270,,,,,,False
tract,float64,0,6270,,,,,,False
tract_area_km2,float64,1444,4826,1.1326309345410335,4.021283412200462,0.0433780892185078,0.6194976588429728,134.0378594637597,False
air_temp_c,float64,1400,4870,22.6365077010027,1.8488151824805314,20.438854485663853,22.40089504131373,28.16446607562079,False
rh_pct,float64,1400,4870,63.93691595145221,9.01028430764977,50.90013627191003,61.84115182470652,81.40729811266588,False
lst_summer_mean_c,float64,1440,4830,37.98472818845141,3.7689199545087084,18.83000000000004,38.856349940387105,43.84910533910537,False
hi_summer_mean_c,float64,1400,4870,23.030567031683233,3.055288776264472,20.438854485663853,22.400895041313728,32.61858411931805,False
state_fips,float64,4368,1902,31.25503663003663,12.575231717864657,6.0,36.0,53.0,False
lst_pct,float64,4008,2262,0.500748502994012,0.2887109492958794,0.0004789272030651,0.5007183908045977,1.0,False
hi_pct,float64,4008,2262,0.500748502994012,0.283829970556868,0.0011467889908256,0.5114942528735632,1.0,False
hi_minus_lst_pct,float64,4008,2262,7.97765047634843e-18,0.36712181319100723,-0.8853006681514477,-0.0086009174311926,0.9680851063829788,False
q75_lst_c,float64,4368,1902,34.11373765326152,2.5472337558782967,29.713333333333367,33.461953775316275,40.462154686398904,False
q75_hi_c,float64,4368,1902,23.248593419678166,3.8379189094333674,16.363990885969546,22.880559719472675,33.21039030375678,False
q75_hi_minus_lst_pct,float64,4368,1902,0.20163871098017974,0.055646934236718314,0.125,0.2017480842911878,0.3603723404255319,False
