city,path,rows,geoid_col,overlap,reason
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/heat_ready/houston/houston_tract_lookup.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_raw/phoenix/tract_2025/tl_2025_04_tract.shp,1765,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_tracts_projected.gpkg,1009,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_tracts_clean.geojson,1009,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_with_lst_hi_fixed.gpkg,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_rq1_compare.gpkg,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_with_lst_hi.gpkg,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_with_lst.gpkg,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_demo.gpkg,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_with_lst_hotspot.gpkg,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_demo_poverty.gpkg,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_gistar.gpkg,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_demo_clean.gpkg,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_lst_hi_hotcompare.gpkg,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_city_tracts.gpkg,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/rq1_threshold_stability_phoenix.gpkg,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_tracts_with_alphaearth_pc5_corrected.geojson,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_tracts_heat_ready_with_alphaearth.geojson,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_tracts_with_alphaearth_pc7_corrected.geojson,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_tracts_heat_ready_with_alphaearth_fixed.geojson,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/heat_ready/phoenix/phoenix_tracts_heat_ready.geojson,373,GEOID,332,ok
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_raw/phoenix/place_2025/tl_2025_04_place.shp,467,GEOID,0,"geometry + geoid found, but no overlap"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_city_boundary.gpkg,1,GEOID,0,"geometry + geoid found, but no overlap"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/heat_ready/phoenix/phoenix_boundary_heat_ready.geojson,1,GEOID,0,"geometry + geoid found, but no overlap"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/rq1_phoenix_hexbin_redraw_summary.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/phoenix_landsat_lst_pilot.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/rq1_threshold_stability_thresholds_phoenix.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/phoenix_acs_2023.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/phoenix_hi_pilot.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/rq1_kde_summary_phoenix.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/phoenix_poverty_acs_2023.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_gap_extended_rf_shap_importance.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_alphaearth_2024_tract_mean_mosaic.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_alphaearth_top4_loadings_full.csv,0,,0,no readable geometry
