city,pc,observable,spearman_r,p_value,n
miami,PC7,lst_c,0.327,0.0002,125
miami,PC7,hi_c,0.212,0.0179,125
miami,PC7,hi_minus_lst_z,-0.318,0.0003,125
new_york,PC1,lst_c,0.365,0.0,2088
new_york,PC1,hi_c,0.175,0.0,2088
new_york,PC1,hi_minus_lst_z,-0.356,0.0,2088
new_york,PC2,lst_c,-0.03,0.1665,2088
new_york,PC2,hi_c,-0.17,0.0,2088
new_york,PC2,hi_minus_lst_z,0.021,0.3413,2088
new_york,PC3,lst_c,-0.458,0.0,2088
new_york,PC3,hi_c,-0.038,0.0824,2088
new_york,PC3,hi_minus_lst_z,0.456,0.0,2088
new_york,PC4,lst_c,0.368,0.0,2088
new_york,PC4,hi_c,0.156,0.0,2088
new_york,PC4,hi_minus_lst_z,-0.354,0.0,2088
new_york,PC5,lst_c,0.068,0.0017,2088
new_york,PC5,hi_c,0.151,0.0,2088
new_york,PC5,hi_minus_lst_z,-0.063,0.0038,2088
new_york,PC6,lst_c,-0.004,0.8512,2088
new_york,PC6,hi_c,0.304,0.0,2088
new_york,PC6,hi_minus_lst_z,0.024,0.2693,2088
new_york,PC7,lst_c,-0.157,0.0,2088
new_york,PC7,hi_c,0.093,0.0,2088
new_york,PC7,hi_minus_lst_z,0.168,0.0,2088
phoenix,PC1,lst_c,0.172,0.0016,332
phoenix,PC1,hi_c,-0.034,0.5317,332
phoenix,PC1,hi_minus_lst_z,-0.219,0.0001,332
phoenix,PC1,poverty_rate,-0.216,0.0001,331
phoenix,PC2,lst_c,0.176,0.0013,332
phoenix,PC2,hi_c,-0.274,0.0,332
phoenix,PC2,hi_minus_lst_z,-0.281,0.0,332
phoenix,PC2,poverty_rate,-0.163,0.003,331
phoenix,PC3,lst_c,0.507,0.0,332
phoenix,PC3,hi_c,0.1,0.0702,332
phoenix,PC3,hi_minus_lst_z,-0.479,0.0,332
phoenix,PC3,poverty_rate,0.535,0.0,331
phoenix,PC4,lst_c,0.136,0.0133,332
phoenix,PC4,hi_c,0.375,0.0,332
phoenix,PC4,hi_minus_lst_z,-0.023,0.6736,332
phoenix,PC4,poverty_rate,0.133,0.0151,331
phoenix,PC5,lst_c,0.401,0.0,332
phoenix,PC5,hi_c,0.169,0.002,332
phoenix,PC5,hi_minus_lst_z,-0.394,0.0,332
phoenix,PC5,poverty_rate,0.086,0.1169,331
phoenix,PC6,lst_c,0.434,0.0,332
phoenix,PC6,hi_c,0.24,0.0,332
phoenix,PC6,hi_minus_lst_z,-0.376,0.0,332
phoenix,PC6,poverty_rate,0.152,0.0057,331
phoenix,PC7,lst_c,0.062,0.2618,332
phoenix,PC7,hi_c,-0.096,0.0793,332
phoenix,PC7,hi_minus_lst_z,-0.073,0.1851,332
phoenix,PC7,poverty_rate,-0.013,0.818,331
san_francisco,PC1,lst_c,-0.42,0.0,188
san_francisco,PC1,hi_c,-0.414,0.0,188
san_francisco,PC1,hi_minus_lst_z,0.358,0.0,188
san_francisco,PC2,lst_c,0.012,0.8734,188
san_francisco,PC2,hi_c,-0.44,0.0,188
san_francisco,PC2,hi_minus_lst_z,-0.089,0.2259,188
san_francisco,PC3,lst_c,-0.574,0.0,188
san_francisco,PC3,hi_c,0.008,0.9107,188
san_francisco,PC3,hi_minus_lst_z,0.605,0.0,188
san_francisco,PC4,lst_c,-0.068,0.3547,188
san_francisco,PC4,hi_c,0.031,0.6769,188
san_francisco,PC4,hi_minus_lst_z,0.077,0.2938,188
san_francisco,PC5,lst_c,-0.177,0.0148,188
san_francisco,PC5,hi_c,-0.31,0.0,188
san_francisco,PC5,hi_minus_lst_z,0.145,0.047,188
san_francisco,PC6,lst_c,0.209,0.0041,188
san_francisco,PC6,hi_c,0.083,0.2552,188
san_francisco,PC6,hi_minus_lst_z,-0.212,0.0035,188
san_francisco,PC7,lst_c,-0.037,0.6168,188
san_francisco,PC7,hi_c,0.122,0.0962,188
san_francisco,PC7,hi_minus_lst_z,0.03,0.6852,188
seattle,PC1,lst_c,-0.216,0.0029,188
seattle,PC1,hi_c,-0.156,0.0327,188
seattle,PC1,hi_minus_lst_z,0.183,0.0121,188
seattle,PC2,lst_c,-0.195,0.0072,188
seattle,PC2,hi_c,0.229,0.0015,188
seattle,PC2,hi_minus_lst_z,0.23,0.0015,188
seattle,PC3,lst_c,0.007,0.9209,188
seattle,PC3,hi_c,-0.096,0.192,188
seattle,PC3,hi_minus_lst_z,-0.006,0.9302,188
seattle,PC4,lst_c,-0.054,0.4634,188
seattle,PC4,hi_c,-0.119,0.1027,188
seattle,PC4,hi_minus_lst_z,0.033,0.6556,188
seattle,PC5,lst_c,0.217,0.0028,188
seattle,PC5,hi_c,-0.092,0.2083,188
seattle,PC5,hi_minus_lst_z,-0.214,0.0032,188
seattle,PC6,lst_c,-0.147,0.0447,188
seattle,PC6,hi_c,-0.07,0.3378,188
seattle,PC6,hi_minus_lst_z,0.156,0.0323,188
seattle,PC7,lst_c,0.082,0.2635,188
seattle,PC7,hi_c,0.093,0.2028,188
seattle,PC7,hi_minus_lst_z,-0.065,0.3768,188
